Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
,......He removed the lid of the pressure cooker.,...He removed the lid of the pressure cooker. ,"...He removed the lid of the pressure cooker.",圧力鍋の蓋を、……取り払う。,圧力鍋の蓋を、……取り払う。,...Он снял крышку со скороварки.,......Ele removeu a tampa da panela de pressão.,乡田猛地揭开了，……压力锅的盖子。,鄉田猛地揭開了，……壓力鍋的蓋子。,... Rimosse il coperchio della pentola a pressione.,......He removed the lid of the pressure cooker.,... Él quitó la tapa de la olla de presión.,...ﺛﻢ ﻗﺎﻡ ﺑﺈﺯﺍﻟﺔ ﻏﻄﺎﺀ ﻗﺪﺭ ﺍﻟﻀﻐﻂ.,......He removed the lid of the pressure cooker.,......He removed the lid of the pressure cooker.,......He removed the lid of the pressure cooker.
,And lying exposed there...was the sparkling clean silver bottom of the pot.,And lying exposed there... was the sparkling clean silver bottom of the pot. ," And lying exposed there, ...was the sparkling clean silver bottom of the pot.",　そこに晒されるのは、…ピカピカに磨かれた銀色の鍋底。,そこに晒されるのは、…ピカピカに磨かれた銀色の鍋底。,И увидел там... сверкающее чистотой серебряное дно.,"E repousando completamente exposto lá...estava o fundo, limpo e reluzente, da panela.",暴露出来的，…是擦得锃亮的银色锅底。,暴露出來的，…是擦得鋥亮的銀色鍋底。,"E sotto, completamente esposto, vi era... il pulitissimo fondo argentato della pentola.",And lying exposed there...was the sparkling clean silver bottom of the pot.,Y allí expuesto... estaba el fondo brillante y limpio de la olla.,...ﻭﻣﺎ ﺍﻧﻜﺸﻒ ﺍﻣﺎﻣﻪ ﻫﻮ...ﻗﺎﻉ ﺍﻟﻘﺪﺭ ﺍﻟﻔﻀﻲ ﺍﻟﻤﺘﻸﻟﺊ ﻧﻈﺎﻓﺔً.,And lying exposed there...was the sparkling clean silver bottom of the pot.,And lying exposed there...was the sparkling clean silver bottom of the pot.,And lying exposed there...was the sparkling clean silver bottom of the pot.
,......There was absolutely nothing frightening like he had imagined.,...There was absolutely nothing frightening like he'd imagined. ,"......There was absolutely nothing frightening like he had imagined.",……彼が想像した、恐ろしい何かはまったく存在しなかった。,……彼が想像した、恐ろしい何かはまったく存在しなかった。,"......Ничего такого страшного, как он предполагал, там не оказалось.",......Não havia absolutamente nada assustador como ele tinha imaginado.,……根本没有他所想象的恐怖之物。,……根本沒有他所想像的恐怖之物。,... Non c'era proprio nulla di spaventoso al contrario di quanto aveva immaginato.,......There was absolutely nothing frightening like he had imagined.,... No había absolutamente nada escalofriante como lo que él había imaginado.,...ﻟﻢ ﻳﻜﻦ ﻫﻨﺎﻙ ﺃﻱ ﺷﻲﺀ ﻣﺨﻴﻒ ﻋﻠﻰ ﺍﻹﻃﻼﻕ ﻛﻤﺎ ﻛﺎﻥ ﻳﺘﺨﻴﻞ.,......There was absolutely nothing frightening like he had imagined.,......There was absolutely nothing frightening like he had imagined.,......There was absolutely nothing frightening like he had imagined.
Gohda Toshiro,"""...............Whew. ...Hahahaha, well, of course. ...There's no way there could have been anything inside.""","""......Whew. ...Hahahaha, it's only natural. ...There's no way there could have been anything inside."" ","""............Whew. ...Hahahaha, it's only natural. ...There's no way there could have been anything inside.""",「……………ふぅ。…はははは、そりゃ当然です。…中に何も、いるわけがない。」,「……………ふぅ。…はははは、そりゃ当然です。…中に何も、いるわけがない」,"""............Фу‐у. ...Ха‐ха‐ха‐ха, ну естественно. ...Откуда чему было взяться внутри.""","""...............Fuu. ...Hahahaha, bem, é claro. ...Não tinha como ter nada aqui dentro.""",「……………呼。…哈哈哈哈，这是当然啊。…里面才没可能有东西呢。」,「……………呼。…哈哈哈哈，這是當然啊。…裡面才沒可能有東西呢。」,"""... Uf. ... Hahahaha, c'era da aspettarselo. ... Era impossibile che dentro ci fosse qualcosa.""","""...............Whew. ...Hahahaha, well, of course. ...There's no way there could have been anything inside.""","""... Fiu... Jajajaja, es natural... No hay manera de que pudiera haber algo adentro.""","""...ﻓﻴﻮ. ﻫﺎﻫﺎﻫﺎ، ﺑﺎﻟﻄﺒﻊ. ﻣﻦ ﺍﻟﻄﺒﻴﻌﻲ ﺃﻻ ﻳﻜﻮﻥ ﻫﻨﺎﻙ ﺷﻲﺀ ﺑﺎﻟﺪﺍﺧﻞ.""","""...............Whew. ...Hahahaha, well, of course. ...There's no way there could have been anything inside.""","""...............Whew. ...Hahahaha, well, of course. ...There's no way there could have been anything inside.""","""...............Whew. ...Hahahaha, well, of course. ...There's no way there could have been anything inside."""
,"By now, Gohda realized that he had been a coward.","By now, Gohda realized that he had been a coward. ","By now, Gohda had realized that he had been a coward.",郷田は今頃になって、自分が小心者であったことを自覚する。,郷田は今頃になって、自分が小心者であったことを自覚する。,"И тут до Годы дошло, что он вёл себя как трус.","Naquele momento, Gohda percebeu como estava sendo covarde.",事到如今，乡田也认识到了，自己是个胆小鬼。,事到如今，鄉田也認識到了，自己是個膽小鬼。,"Adesso, Gohda aveva capito di essere stato un codardo.","By now, Gohda realized that he had been a coward.","En ese momento, Gohda se dio cuenta de que había sido un cobarde.",ﺃﺩﺭﻙ ﻗﻮﺩﺍ، ﻣﺘﺄﺧﺮًﺍ، ﻛﻢ ﻫﻮ ﺟﺒﺎﻥ ﺑﺎﻟﻔﻌﻞ.,"By now, Gohda realized that he had been a coward.","By now, Gohda realized that he had been a coward.","By now, Gohda realized that he had been a coward."
,"......So while he still had some doubts about what had caused the lid to make that sound, ...he explained it away abstractly as some quirk of positioning or something, and decided not to worry about it too much.","...So, while he still had some doubts as to what had caused the lid to make that sound, ...he figured it wasn't a big problem, and decided not to worry about it too much. ","......So while he still had some doubts about what had caused the lid to make that sound, ...he thought it wasn't a big problem, and decided not to worry about it too much.",……ならばなぜ、蓋が鳴っていたのかという疑問ももちろん湧いたが、…ちょっとした角度とかの問題、などと抽象的に考え、深くは悩まないことにした。,……ならばなぜ、蓋が鳴っていたのかという疑問ももちろん湧いたが、…ちょっとした角度とかの問題、などと抽象的に考え、深くは悩まないことにした。,"......Так что, хоть его и обуревали некоторые сомнения насчёт того, что же заставило крышку издавать тот звук, он посчитал, что этот случай не стоил пристального внимания и решил не заморачиваться.","......Enquanto ainda tinha algumas dúvidas do que poderia ter feito a tampa emitir aquele som, ...ele explicou isso de forma abstrata, como se fosse um posicionamento peculiar dele ou algo assim, e decidiu não se preocupar com isso.",……所以，尽管他还有着“既然如此，那这盖子为什么会出声呢？”的疑问，…但还是将之抽象地理解成了角度之类的小问题，没往深处想。,……所以，儘管他還有著“既然如此，那這蓋子為什麼會出聲呢？”的疑問，…但還是將之抽象地理解成了角度之類的小問題，沒往深處想。,"... Perciò pur avendo ancora dei dubbi so cosa avesse portato il coperchio a fare quel rumore... si disse che non era un gran problema, e decise di non preoccuparsene più di tanto.","......So while he still had some doubts about what had caused the lid to make that sound, ...he explained it away abstractly as some quirk of positioning or something, and decided not to worry about it too much.","... Aun cuando tenía algunas dudas sobre qué había causado que la tapa hiciese tal sonido, pensó que no era un gran problema, y decidió no preocuparse mucho por eso.","......ﺛﻢ ﺗﺴﺎﺀﻝ ﺑﻄﺒﻴﻌﺔ ﺍﻟﺤﺎﻝ: ""ﺇﺫًﺍ، ﻟﻤﺎﺫﺍ ﻛﺎﻥ ﺍﻟﻐﻄﺎﺀ ﻳﺼﺪﺭ ﺻﻮﺗًﺎ؟ ...ﺛﻢ ﻗﺮﺭ ﺃﻥ ﺍﻷﻣﺮ ﻟﻴﺲ ﻣﻬﻤﺎ ﻭﺃﻻّ ﺩﺍﻋﻲ ﻟﻠﻤﺒﺎﻟﻐﺔ ﺑﺸﺄﻧﻪ.","......So while he still had some doubts about what had caused the lid to make that sound, ...he explained it away abstractly as some quirk of positioning or something, and decided not to worry about it too much.","......So while he still had some doubts about what had caused the lid to make that sound, ...he explained it away abstractly as some quirk of positioning or something, and decided not to worry about it too much.","......So while he still had some doubts about what had caused the lid to make that sound, ...he explained it away abstractly as some quirk of positioning or something, and decided not to worry about it too much."
,"Then he took the lid he had grabbed, ......and softly set it back down where it had been.",Then he took the lid he'd grabbed...and softly set it back down where it had been. ," Then he took the lid he had grabbed, ......and softly set it back down where it had been.",そして手に取った蓋を、……そうっと元通りに置いてみる。,そして手に取った蓋を、……そうっと元通りに置いてみる。,Затем он взял крышку и мягко вернул обратно на место.,"Ele então olhou para a tampa que havia pego, ......e gentilmente a colocou de volta onde estava.",接着，他小心翼翼地将手上拿着的盖子，……照原样盖了回去。,接著，他小心翼翼地將手上拿著的蓋子，……照原樣蓋了回去。,Poi afferrò il coperchio che aveva rimosso... e lo rimise a posto senza far rumore.,"Then he took the lid he had grabbed, ......and softly set it back down where it had been.",Entonces tomó la tapa que había agarrado... y suavemente la colocó de nuevo donde estaba.,ﻓﺄﺧﺬ ﺍﻟﻐﻄﺎﺀ ﻭﺃﻋﺎﺩﻩ ﺑﻬﺪﻭﺀ.,"Then he took the lid he had grabbed, ......and softly set it back down where it had been.","Then he took the lid he had grabbed, ......and softly set it back down where it had been.","Then he took the lid he had grabbed, ......and softly set it back down where it had been."
,"......It's alright, there won't be a sound. ......Obviously.{n}As if witches or magic could exist...!","...It's fine, it won't make a sound. ...Of course it won't. As if witches or magic could exist...! ","......It's alright, there won't be a sound. ......Obviously. As if witches or magic could exist...!",……大丈夫、音は鳴らない。……当然だ。魔女も魔法もあるもんか…！,……大丈夫、音は鳴らない。……当然だ。{n}魔女も魔法もあるもんか…！,"......Всё в порядке, звука не будет. ......Очевидно же.{n}Ведьмы и магия существуют, ага, щас!","......Está tudo bem, não tem nenhum som. ......Obviamente.{n}Como se bruxas ou magia pudessem existir...!",……没事，不会有声音的。……当然的事。{n}魔女与魔法都是不存在的…！,……沒事，不會有聲音的。……當然的事。{n}魔女與魔法都是不存在的…！,"... Va tutto bene, non ci sarà neppure il più piccolo rumore. ... Ovviamente. Come se le streghe o la magia potessero esistere davvero...!","......It's alright, there won't be a sound. ......Obviously.{n}As if witches or magic could exist...!","... Está bien, no hubo ningún sonido... Obviamente.{n}¡Como si las brujas o la magia pudiesen existir!...",......ﻻ ﺑﺄﺱ، ﻟﻦ ﻳﺼﺪﺭ ﺃﻱ ﺻﻮﺕ، ......ﺑﺎﻟﻄﺒﻊ ﻟﻦ ﻳﺼﺪﺭ.{n}ﻭﻛﺄﻥ ﺍﻟﺴﺤﺮ ﻭﺍﻟﺴﺎﺣﺮﺍﺕ ﻟﻬﻢ ﻭﺟﻮﺩ...!,"......It's alright, there won't be a sound. ......Obviously.{n}As if witches or magic could exist...!","......It's alright, there won't be a sound. ......Obviously.{n}As if witches or magic could exist...!","......It's alright, there won't be a sound. ......Obviously.{n}As if witches or magic could exist...!"
,Clank. Clankclankclankclank.,*clank*. *clank*clank*clank*clank*. ,"*clank*.*clank*clank*clank*clank*.",カタ。カタカタカタカタ。,カタ。カタカタカタカタ。,*лязг*.*лязг*лязг*лязг*лязг*.,Clank. Clankclankclankclank.,咔哒。咔哒咔哒咔哒咔哒。,咔噠。咔噠咔噠咔噠咔噠。,*clank*. *clank*clank*clank*clank*.,Clank. Clankclankclankclank.,*clank*. *clank*clank*clank*clank*.,ﺧﺸﺨﺸﺔ. ﺧﺸﺨﺸﺨﺔﺧﺸﺨﺸﺨﺔﺧﺸﺨﺸﺔ.,Clank. Clankclankclankclank.,Clank. Clankclankclankclank.,Clank. Clankclankclankclank.
Gohda Toshiro,"""...............Huh...?""","""......Huh...?"" ","""............Huh...?""",「……………え…？」,「……………え…？」,"""............А?""","""...............Hã...?""",「……………哎…？」,「……………哎…？」,"""... Huh...?""","""...............Huh...?""","""... ¿Eh?...""",""".............ﻫﺎﻩ...؟""","""...............Huh...?""","""...............Huh...?""","""...............Huh...?"""
,Clank{0}clank{0}clank{0}clank{0}clank{0}clank{0}clank{0}clank.,*clank*clank*clank*clank*clank*clank*clank*clank*. ,"*clank*clank*clank*clank*clank*clank*clank*clank*.",カタカタカタカタカタカタカタカタ。,カタカタカタカタカタカタカタカタ。,*лязг*лязг*лязг*лязг*лязг*лязг*лязг*лязг*.,Clank{0}clank{0}clank{0}clank{0}clank{0}clank{0}clank{0}clank.,咔哒咔哒咔哒咔哒咔哒咔哒咔哒咔哒。,咔噠咔噠咔噠咔噠咔噠咔噠咔噠咔噠。,*clank*clank*clank*clank*clank*clank*clank*clank*.,Clank{0}clank{0}clank{0}clank{0}clank{0}clank{0}clank{0}clank.,*clank*clank*clank*clank*clank*clank*clank*clank*.,*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*.,Clank{0}clank{0}clank{0}clank{0}clank{0}clank{0}clank{0}clank.,Clank{0}clank{0}clank{0}clank{0}clank{0}clank{0}clank{0}clank.,Clank{0}clank{0}clank{0}clank{0}clank{0}clank{0}clank{0}clank.
,CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK!,*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*! ,"*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*!",カタカタカタカタカタカタカタカタカタカタカタカタカタカタカタカタ！,カタカタカタカタカタカタカタカタカタカタカタカタカタカタカタカタ！,*лязг*лязг*лязг*лязг*лязг*лязг*лязг*лязг*лязг*лязг*лязг*лязг*лязг*лязг*лязг*лязг*!,CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK!,咔哒咔哒咔哒咔哒咔哒咔哒咔哒咔哒咔哒咔哒咔哒咔哒咔哒咔哒咔哒咔哒！,咔噠咔噠咔噠咔噠咔噠咔噠咔噠咔噠咔噠咔噠咔噠咔噠咔噠咔噠咔噠咔噠！,*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*!,CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK!,¡*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*clank*!,*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*ﺧﺸﺨﺸﺔ*!,CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK!,CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK!,CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK{0}CLANK!
Gohda Toshiro,"""Hii, ......HIIIiiiIIIIii!!""","""...E-Eeeeeeeeeeeppp!!"" ","""Hii, ......HIIIIIIIIIII!!""",「ひッ、……ひっぃいいいいぃ！！」,「ひッ、……ひっぃいいいいぃ！！」,"""Хи‐и... Хи‐и‐и‐и‐и‐и‐и!""","""Hii, ......HIIIiiiIIIIii!!""",「嗨、……嗨、咿咿咿咿咿咿！！」,「嗨、……嗨、咿咿咿咿咿咿！！」,"""Hii... hIIIIIIIIIII!!""","""Hii, ......HIIIiiiIIIIii!!""","""¡¡EEK... EEEEEEKKK!!""","""ﻫـــﻪ، ﻫـــﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻴﻲ!!!""","""Hii, ......HIIIiiiIIIIii!!""","""Hii, ......HIIIiiiIIIIii!!""","""Hii, ......HIIIiiiIIIIii!!"""
,All of the pots and utensils in the kitchen started clanking at once.,All of the pots and dishes in the kitchen started clanking at once. ,"All of the pots and utensils in the kitchen started clanking at once.",厨房中の鍋が、食器が、一斉にカタカタと音を鳴らし始める。,厨房中の鍋が、食器が、一斉にカタカタと音を鳴らし始める。,Все кухонные сосуды и приборы вдруг как по команде принялись одновременно лязгать.,Todas as panelas e utensílios da cozinha começaram a tinir ao mesmo tempo.,厨房中的锅呀，餐具呀，一齐鸣响了起来。,廚房中的鍋呀，餐具呀，一齊鳴響了起來。,Tutte le pentole e gli utensili in cucina presero a far fracasso all'improvviso.,All of the pots and utensils in the kitchen started clanking at once.,Todas las ollas y utensilios en la cocina comenzaron a sonar al mismo tiempo.,ﺑﺪﺃﺕ ﺟﻤﻴﻊ ﺍﻷﻭﺍﻧﻲ ﻭﺍﻷﻃﺒﺎﻕ ﻓﻲ ﺍﻟﻤﻄﺒﺦ ﺗﺼﺪﺭ ﺧﺸﺨﺸﺔ ﺩﻓﻌﺔً ﻭﺍﺣﺪﺓ!,All of the pots and utensils in the kitchen started clanking at once.,All of the pots and utensils in the kitchen started clanking at once.,All of the pots and utensils in the kitchen started clanking at once.
,"And it grew stronger still, until finally, it became so strong that the lid to one of the pots fell off...!","It grew even stronger, so that finally, the lid to one of the pots fell off...! "," It grew even stronger, so that finally, the lid to one of the pots fell off...! ",それはさらに一層強くなり、とうとう一部の鍋は蓋を落としてしまうほどにまでなる…！,それはさらに一層強くなり、とうとう一部の鍋は蓋を落としてしまうほどにまでなる…！,"Лязганье нарастало, и вот один из сосудов упал!..","E ficando cada vez mais fortes, até que finalmente, a tampa de uma das panelas caiu...!",越响越激烈，最终，连一部分锅的盖子都被震落了下来…！,越響越激烈，最終，連一部分鍋的蓋子都被震落了下來…！,"Il rumore si fece ancora più forte, fino a che finalmente, il coperchio di una delle pentole cadde via...!","And it grew stronger still, until finally, it became so strong that the lid to one of the pots fell off...!","¡Y se hizo aún más fuerte, hasta que finalmente, se hizo tan fuerte que la tapa de una de las ollas se cayó!...", ﻭﺍﺯﺩﺍﺩﺕ ﺣﺪﺓً، ﺣﺘﻰ ﺳﻘﻂ ﻏﻄﺎﺀ ﺃﺣﺪ ﺍﻷﻭﺍﻧﻲ...!,"And it grew stronger still, until finally, it became so strong that the lid to one of the pots fell off...!","And it grew stronger still, until finally, it became so strong that the lid to one of the pots fell off...!","And it grew stronger still, until finally, it became so strong that the lid to one of the pots fell off...!"
,"And, ......from inside that pot, .........a slender white arm slowly streeeetched out.","And...from inside that pot, ......a slender white arm reached out. ","And, ......from inside that pot, .........a slender white arm reached out.",そして、……蓋を落とした鍋の中からは、………ぬぅぅっと、白く細い腕が、伸びだす。,そして、……蓋を落とした鍋の中からは、………ぬぅぅっと、白く細い腕が、伸びだす。,И... оттуда... показалась тонкая белая рука.,"E, ......de dentro dela, .........um esguio braço branco se esticooooou para fora.",然后，……从锅盖落下了的锅中，………“唰”地伸出了，雪白纤细的手臂。,然後，……從鍋蓋落下了的鍋中，………“唰”地伸出了，雪白纖細的手臂。,E poi... dall'interno di quella pentola... si allungò un braccio candido e sottile.,"And, ......from inside that pot, .........a slender white arm slowly streeeetched out.",Y... desde el interior de esa olla... un delgado brazo blanco salió lentamente.,ﻭ......ﻣﻦ ﺩﺍﺧﻞ ﺫﻟﻚ ﺍﻟﻘﺪﺭ، ...ﺍﻣﺘﺪﺕ ﺫﺭﺍﻉ ٌﺑﻴﻀﺎﺀ ﻃﻮﻳﻠﺔ.,"And, ......from inside that pot, .........a slender white arm slowly streeeetched out.","And, ......from inside that pot, .........a slender white arm slowly streeeetched out.","And, ......from inside that pot, .........a slender white arm slowly streeeetched out."
,"The lid fell off another pot, and another hand slowly streeeetched out, and anotherrrr, and anotherrrr...","Lids fell off the other pots one after another, and another, and another... "," The lids fell off other pots one after another, and another, and another...",次々に他の鍋も蓋を落とし、ぬぅぅ。ぬぅぅ。ぬぅぅぅ…。,次々に他の鍋も蓋を落とし、ぬぅぅ。ぬぅぅ。ぬぅぅぅ…。,"Крышка упала с одного сосуда, потом со второго, третьего, четвёртого...","A tampa de outra panela caiu, e outra mão lentamente se esticooooou para fora, e oooooutra, e oooooutra...",接着，其他锅盖也接二连三地落下，“唰”。“唰”。“唰”…。,接著，其他鍋蓋也接二連三地落下，“唰”。“唰”。“唰”…。,"I coperchi caddero da altre pentole uno dopo l'altro, e ancora, e ancora...","The lid fell off another pot, and another hand slowly streeeetched out, and anotherrrr, and anotherrrr...","Las tapas de las ollas se cayeron una tras otra, tras otra, y otra...",ﻭﺗﻮﺍﻟﻰ ﺳﻘﻮﻁ ﺑﻘﻴﺔ ﺍﻷﻭﺍﻧﻲ ﺍﻟﻮﺍﺣﺪ ﺗﻠﻮ ﺍﻵﺧﺮ... ﻭﺃﺧﺮ،  ﻭﺃﺧﺮ...,"The lid fell off another pot, and another hand slowly streeeetched out, and anotherrrr, and anotherrrr...","The lid fell off another pot, and another hand slowly streeeetched out, and anotherrrr, and anotherrrr...","The lid fell off another pot, and another hand slowly streeeetched out, and anotherrrr, and anotherrrr..."
Gohda Toshiro,"""Hiiiiiiiii!!! Witches aren't, witches can't be reeeeeal!! I'll never believe iiiiiiiiiit!!""","""Eeeeeeeeeepp!!! As if...as if witches could exiiiist!! As if I'd believe iiiiiiiiiit!!"" ","""Hiiiiiiiii!!! As if, as if witches could exiiiist!! As if I would believe iiiiiiiiiit!!""",「ひいいいいい！！！　魔女なんかッ、魔女なんかいるもんかぁああぁあ！！　信じるもんかああああぁああああ！！」,「ひいいいいい！！！　魔女なんかッ、魔女なんかいるもんかぁああぁあ！！　信じるもんかああああぁああああ！！」,"""Хи‐и‐и‐и!!! Чтобы ведьмы существовали, да ни в жисть! Я ни за что не поверю в это!!!""","""Hiiiiiiiii!!! Bruxas não existem, bruxas não podem ser reaiiiiiis!! Eu nunca vou acreditar niiiiiisso!!""",「嗨咿咿咿咿咿！！！才不会有，才不会有什么魔女呢！！咱才不信呢————————！！」,「嗨咿咿咿咿咿！！！才不會有，才不會有什麼魔女呢！！咱才不信呢————————！！」,"""Hiiiiiiiii!!! Come se, le streghe potessero mai esistere!! Come se potessi crederciiiiiii!!""","""Hiiiiiiiii!!! Witches aren't, witches can't be reeeeeal!! I'll never believe iiiiiiiiiit!!""","""¡¡¡Eeeeeek!!! ¡¡Las brujas no son... las brujas no pueden ser reaaales!! ¡¡Nunca lo creerééé!!""","""ﺇﻳﻴﻴﻴﻴﻴﻴﻴﻴﻴﻪ!!!  ﺍﻟـ-... ﺍﻟﺴﺎﺣﺮﺍﺕ ﻏﻴﺮ- ﺍﻟﺴﺎﺣﺮﺍﺕ ﻏﻴﺮ ﻣﻮﺟﻮﻭﻭﺩﺍﺕ!! ﻟﻦ ﺃﺻﺪﻕ ﻭﺟﻮﻭﻭﻭﻭﺩﻫﻦ!!""","""Hiiiiiiiii!!! Witches aren't, witches can't be reeeeeal!! I'll never believe iiiiiiiiiit!!""","""Hiiiiiiiii!!! Witches aren't, witches can't be reeeeeal!! I'll never believe iiiiiiiiiit!!""","""Hiiiiiiiii!!! Witches aren't, witches can't be reeeeeal!! I'll never believe iiiiiiiiiit!!"""
,"When the number of arms grew to seven, a loud, shrill laughter split the air.","When the number of arms grew to seven, a loud, shrill laughter split the air. ","When the number of arms grew to seven, a loud, shrill laughter split the air.",その腕の数は７本を数えた時、黄色い哄笑が空間を叩き割る。,その腕の数は７本を数えた時、黄色い哄笑が空間を叩き割る。,"Когда количество рук достигло семи, воздух прорезал громкий, пронзительный смех.","Quando o número de braços aumentou para sete, uma alta e estridente risada dividiu o ar.",当手臂的数量到达七时，尖声的哄笑划破了空间。,當手臂的數量到達七時，尖聲的哄笑劃破了空間。,"Quando il numero di braccia arrivò a sette, una risata alta e acuta spezzò l'aria.","When the number of arms grew to seven, a loud, shrill laughter split the air.","Cuando el número de brazos llegó a siete, una carcajada estridente partió el aire.",ﻭﻋﻨﺪﻣﺎ ﻭﺻﻞ ﻋﺪﺩ ﺍﻷﺫﺭﻉ ﺇﻟﻰ ﺳﺒﻌﺔ، ﺩﻭﺕ ﺿﺤﻜﺎﺕٌ ﺻﺎﺭﺧﺔ ﻭﻣﻸﺕ ﺍﻟﻤﻜﺎﻥ.,"When the number of arms grew to seven, a loud, shrill laughter split the air.","When the number of arms grew to seven, a loud, shrill laughter split the air.","When the number of arms grew to seven, a loud, shrill laughter split the air."
Beelzebub,"""What a letdown! It's a reeeeal letdown that a person who can make such delicious food is such a lightweight!!""","""What a letdown! Too bad that someone who can make such delicious food is such a lightweight!!"" ","""What a letdown! It's a real letdown that a person who can make such delicious food is such a lightweight!!""",「がっかりぃ！　これほどのオイシイお料理が作れる人が、こんな小物なんて本当ォにがっかりぃ！！」,「がっかりぃ！　これほどのオイシイお料理を作れる人が、こんな小物なんて本当ォにがっかりぃ！！」,"""Какой отстой! Какой позор, что человек, способный приготовить такую вкусную еду, на самом деле столь ничтожен!""","""Mas que decepcionante! É mesmo decepcionante que uma pessoa que faz uma comida tão deliciosa seja tãooooo devagar!!""",「失望！能做出此等好吃料理之人，竟是这么个小人物，真是令人大失所望！！」,「失望！能做出此等好吃料理之人，竟是這麼個小人物，真是令人大失所望！！」,"""Che delusione! È una vera delusione che una persona che cucina del cibo così delizioso sia un tale smidollato!!""","""What a letdown! It's a reeeeal letdown that a person who can make such delicious food is such a lightweight!!""","""¡Qué decepción! ¡¡Es una verdadera decepción que una persona que puede hacer una comida tan deliciosa sea tan poca cosa!!""","""ﺃﺷﻌﺮ ﺑﺎﻹﺣﺒﺎﻁ! ﺃﻥ ﻳﻜﻮﻥ ﺷﺨﺺٌ ﻗﺎﺩﺭ ﻋﻠﻰ ﺻﻨﻊ ﻫﺬﺍ ﺍﻟﻄﻌﺎﻡ ﺍﻟﺸﻬﻲّ، ﻣﺠﺮﺩ ﺟﺒﺎﻥ ﺗﺎﻓﻪ، ﻳﺎﺍﺍﺍﺍﺍﺍﺍﻩ، ﻳﺎ ﻟﻺﺣﺒﺎﻁ!!!""","""What a letdown! It's a reeeeal letdown that a person who can make such delicious food is such a lightweight!!""","""What a letdown! It's a reeeeal letdown that a person who can make such delicious food is such a lightweight!!""","""What a letdown! It's a reeeeal letdown that a person who can make such delicious food is such a lightweight!!"""
