Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
Ushiromiya Natsuhi,"""Father is a paragon of a man, a model of self‐discipline and restraint! It is completely inconceivable that he would bring something so filthy onto this island...!""","""Father was always exemplary at keeping strictly to the rules! It is completely inconceivable that he would bring something so filthy onto this island...!"" ","""Father was a man who was exemplary at strictly obeying the rules! It is completely inconceivable that he would bring something so filthy onto this island...!""",「お父様は自己を厳しく律する模範的な方です！　そのような汚らわしい存在を島に連れ込むなど、到底考えられません…！」,「お父様は自己を厳しく律する模範的な方です！　そのような汚らわしい存在を島に連れ込むなど、到底考えられません…！」,"""Отец был образцовым человеком, когда дело касалось строгого следования правилам! Совершенно немыслимо, что он мог привезти на этот остров нечто столь непристойное!..""","""O pai é um modelo de homem ideal, autodisciplinado e rigoroso!{n}É completamente inconvencível que ele traria uma mulher tão imunda para esta ilha...!""",「爸是严于律己的人之楷模！无论如何都无法想象，爸会将如此肮脏的女人带上岛…！」,「爸是嚴于律己的人之楷模！無論如何都無法想像，爸會將如此骯髒的女人帶上島…！」,"""Nostro Padre era un uomo esemplare, che obbediva severamente alle regole! {n}È completamente inconcepibile il fatto che abbia portato qualcosa di così immondo in questa isola...!""","""Father is a paragon of a man, a model of self‐discipline and restraint! It is completely inconceivable that he would bring something so filthy onto this island...!""","""¡Padre es un ejemplo de hombre, autodisciplinado y riguroso! ¡Es completamente inconcebible que trajese algo tan obsceno a esta isla!...""","""ﻭﺍﻟﺪﻱ ﺭﺟﻞ ﺻﺎﺭﻡ، ﻣﻨﻀﺒﻂ، ﻣﺜﺎﻟﻲ! ﻻ ﻳﻤﻜﻨﻪ ﺃﺑﺪًﺍ ﺃﻥ ﻳُﻘﺪﻡ ﻋﻠﻰ ﺷﻲﺀٍ ﺩﻧﻲﺀ ﻛﻬﺬﺍ، ﻛﺄﻥ ﻳُﺤﻀِﺮ ﺍﻣﺮﺃﺓ ﺇﻟﻰ ﻫﺬﻩ ﺍﻟﺠﺰﻳﺮﺓ...!""","""Father is a paragon of a man, a model of self‐discipline and restraint! It is completely inconceivable that he would bring something so filthy onto this island...!""","""Father is a paragon of a man, a model of self‐discipline and restraint! It is completely inconceivable that he would bring something so filthy onto this island...!""","""Babam kurallara sıkı sıkıya bağlı kalma konusunda her zaman örnek bir insan olmuştur! Bu adada böylesine pis bir şey yapabileceği kesinlikle düşünülemez...!"""
,"Natsuhi snapped at her immediately, but it looked like the four siblings, including her husband Krauss, didn't think that way.","Natsuhi snapped at them immediately, but it looked like the four siblings, including Krauss, didn't agree. ","Natsuhi snapped at them immediately, but it looked like the four siblings, including Krauss, didn't think that way.",夏妃がさっそく噛み付くが、その夫の蔵臼も含め、４兄弟たちはそうは思っていないようだった。,夏妃がさっそく噛み付くが、その夫の蔵臼も含め、４兄弟たちはそうは思っていないようだった。,"Нацухи тотчас вспылила на них, но было похоже, что все четверо, включая Краусса, не отрицали этот вариант.","Natsuhi a atingiu imediatamente, mas parecia que os quatro irmãos, incluindo seu marido Krauss, não compartilhavam de sua opinião.",虽然夏妃立刻极力反驳，但包括她的丈夫藏臼在内的四兄妹，看起来似乎都不这么想。,雖然夏妃立刻極力反駁，但包括她的丈夫藏臼在內的四兄妹，看起來似乎都不這麼想。,"Natsuhi ebbe uno scatto immediato d'ira, ma sembrò che i quattro fratelli, Krauss incluso, non la pensassero in quel modo.","Natsuhi snapped at her immediately, but it looked like the four siblings, including her husband Krauss, didn't think that way.","Natsuhi le replicó de inmediato, pero parecía que los cuatro hermanos, incluido su marido Krauss, no pensaban lo mismo.",ﺭﺩﺕ ﻋﻠﻴﻬﻢ ﻧﺎﺗﺴﻮﻫﻲ ﻋﻠﻰ ﺍﻟﻔﻮﺭ، ﻟﻜﻦ ﻳﺒﺪﻭ ﺃﻥ ﺍﻷﺷﻘﺎﺀ ﺍﻷﺭﺑﻌﺔ، ﺑﻤﻦ ﻓﻴﻬﻢ ﻛﺮﺍﻭﺱ، ﻟﻢ ﻳﺘﻔﻘﻮﺍ ﻣﻌﻬﺎ.,"Natsuhi snapped at her immediately, but it looked like the four siblings, including her husband Krauss, didn't think that way.","Natsuhi snapped at her immediately, but it looked like the four siblings, including her husband Krauss, didn't think that way.",Natsuhi hemen ona çıkıştı ama kocası Krauss da dahil olmak üzere dört kardeşin bu şekilde düşünmediği anlaşılıyordu.
,"...On the contrary, it appeared that they thought Kinzo was exactly the kind of person likely to attempt such a stunt.","...On the contrary, they appeared to think Kinzo wouldn't even have hesitated to do something like that. ","...On the contrary, it appeared that they thought Kinzo wouldn't even have hesitated to do something like that.",…むしろ、あの金蔵だからこそ、それくらいのことはしかねないと思っているようだった。,…むしろ、あの金蔵だからこそ、それくらいのことはしかねないと思っているようだった。,"...Напротив, судя по всему, они думали, что Кинзо бы не колеблясь сделал что‐то подобное.","...Pelo contrário, parecia que eles pensavam que Kinzo era exatamente o tipo de pessoa que faria tal ato.",…倒不如说，他们似乎反而觉得，正因为是那位金藏，所以这种程度的事是干得出来的。,…倒不如說，他們似乎反而覺得，正因為是那位金藏，所以這種程度的事是幹得出來的。,"... Invece, sembrava che pensassero che Kinzo non avrebbe neanche esitato a fare una cosa come quella.","...On the contrary, it appeared that they thought Kinzo was exactly the kind of person likely to attempt such a stunt.","... Al contrario, parecía que ellos pensaban que Kinzo ni siquiera dudaría en hacer algo como eso.",...ﻋﻠﻰ ﺍﻟﻌﻜﺲ ﻣﻦ ﺫﻟﻚ، ﻛﺎﻧﻮﺍ ﻳﻌﺘﻘﺪﻭﻥ ﺃﻥ ﻛﻴﻨﺰﻭ ﻟﻢ ﻳﻜﻦ ﻟﻴﺘﺮﺩﺩ ﻓﻲ ﻓﻌﻞ ﺷﻲﺀٍ ﻛﻬﺬﺍ.,"...On the contrary, it appeared that they thought Kinzo was exactly the kind of person likely to attempt such a stunt.","...On the contrary, it appeared that they thought Kinzo was exactly the kind of person likely to attempt such a stunt.","...Aksine, Kinzo'nun tam da böyle bir işe kalkışacak türden biri olduğunu düşündükleri anlaşılıyordu."
,"The existence of a mistress who had Kinzo under her spell...had been whispered of since the very beginning, when he had built the mansion on this island......","From the beginning, it had been whispered that Kinzo had built a mansion on this island specifically because of the existence of an entrancing mistress... "," It had been whispered from the beginning that Kinzo had built a mansion on this island because of the existence of an entrancing mistress......",金蔵を夢中にさせる愛人の存在は、それこそこの島に屋敷を構えた当初から囁かれていたのだ……。,金蔵を夢中にさせる愛人の存在は、それこそこの島に屋敷を構えた当初から囁かれていたのだ……。,"Об этом перешептывались друг с другом с самого начала, что Кинзо построил особняк на этом острове из‐за существования прекрасной любовницы...","A existência de uma amante que estava sob o feitiço de Kinzo...tem sido comentada desde o começo, quando ele ergueu a mansão nesta ilha......",金藏有一位令他着迷的情妇，这是从当初在这座岛上建造大屋时起，就在私下传言的事……。,金藏有一位令他著迷的情婦，這是從當初在這座島上建造大屋時起，就在私下傳言的事……。,Si era bisbigliato dall'inizio... che Kinzo avesse costruito una dimora segreta su quest'isola a causa di un incantevole amante...,"The existence of a mistress who had Kinzo under her spell...had been whispered of since the very beginning, when he had built the mansion on this island......","La existencia de una amante que tenía a Kinzo bajo su embrujo... se ha rumoreado desde el principio, desde que construyó la mansión en esta isla...",ﻭﺟﻮﺩ ﻋﺸﻴﻘﺔٍ ﻛﺎﻧﺖ ﺗﺴﻴﻄﺮ ﻋﻠﻰ ﻛﻴﻨﺰﻭ...ﻫُﻤﺲ ﺑﻪ ﻣﻨﺬ ﺍﻟﺒﺪﺍﻳﺔ، ﺣﻴﻦ ﺑﻨﻰ ﺍﻟﻘﺼﺮ ﻓﻲ ﻫﺬﻩ ﺍﻟﺠﺰﻳﺮﺓ......,"The existence of a mistress who had Kinzo under her spell...had been whispered of since the very beginning, when he had built the mansion on this island......","The existence of a mistress who had Kinzo under her spell...had been whispered of since the very beginning, when he had built the mansion on this island......",Kinzo'yu büyüsü altına alan bir metresin varlığı...Kinzo'nun bu adadaki malikaneyi inşa ettiği ilk günden beri kulaktan kulağa dolanıyordu......
Ushiromiya Rudolf,"""......I'm sorry, Natsuhi‐san, I know how much you respect Dad, but that rumor's been around for a long time. Dad prepared this island by himself, and built everything.""","""...I'm sorry, Natsuhi-san. I know how much you respect Dad, but that rumor's been around for a long time. All the buildings on Rokkenjima were built by Dad on his own."" ","""......I'm sorry, Natsuhi-san. I know how much you respect Father, but that rumor's been around for a long time. Father prepared this island by himself, and built everything.",「……親父を尊敬してる夏妃さんにゃ悪いが、だいぶ昔からそういう噂はあったんだよな。親父は自分ひとりでこの六軒島の設備、全てを作り上げた。,「……親父を尊敬してる夏妃さんにゃ悪いが、だいぶ昔からそういう噂はあったんだよな。親父は自分ひとりでこの六軒島の設備、全てを作り上げた」,"""......Я прошу прощения, Нацухи‐сан. Я знаю, как сильно ты уважаешь отца, но этот слух существует уже долгое время. Отец подготовил этот остров для себя и построил всё.""","""......Me desculpe, Natsuhi‐san, eu sei que você o respeita muito, mas esse rumor existe há muito tempo. Ele preparou essa ilha para si próprio, e construiu tudo.""",「……对尊敬爸的夏妃姐这么说是有点抱歉，但从很久以前起，就有这种风闻了。六轩岛的设备全是爸自己一个人搞的。」,「……對尊敬爸的夏妃姐這麼說是有點抱歉，但從很久以前起，就有這種風聞了。六軒島的設備全是爸自己一個人搞的。」,"""... Scusa, Natsuhi-san. So quanto tu rispetti Papà, ma quel pettegolezzo è in giro da molto tempo. Nostro Padre ha preparato quest'isola da solo, e ha costruito tutto.","""......I'm sorry, Natsuhi‐san, I know how much you respect Dad, but that rumor's been around for a long time. Dad prepared this island by himself, and built everything.""","""... Lo siento, Natsuhi-san, sé cuánto respetas a papá, pero ese rumor circula desde hace mucho tiempo. Papá preparó esta isla para sí mismo, y construyó todo.""","""...ﺃﻋﺘﺬﺭ ﻳﺎ ﻧﺎﺗﺴﻮﻫﻲ-ﺳﺎﻥ. ﺃﻋﺮﻑ ﻣﺪﻯ ﺍﺣﺘﺮﺍﻣﻚ ﻷﺑﻲ، ﻟﻜﻦ ﻫﺬﻩ ﺍﻟﺸﺎﺋﻌﺎﺕ ﻛﺎﻧﺖ ﻣﻮﺟﻮﺩﺓ ﻣﻨﺬ ﻓﺘﺮﺓ ﻃﻮﻳﻠﺔ. ﻛﻤﺎ ﺃﻥ ﺟﻤﻴﻊ ﺍﻟﻤﺒﺎﻧﻲ ﻓﻲ ﺭﻭﻛﻴﻨﺠﻴﻤﺎ ﺗﻢ ﺑﻨﺎﺅﻫﺎ ﻣﻦ ﻗﺒﻞ ﺃﺑﻲ ﻭﺣﺪﻩ.""","""......I'm sorry, Natsuhi‐san, I know how much you respect Dad, but that rumor's been around for a long time. Dad prepared this island by himself, and built everything.""","""......I'm sorry, Natsuhi‐san, I know how much you respect Dad, but that rumor's been around for a long time. Dad prepared this island by himself, and built everything.""","""......Özür dilerim Natsuhi-san, Babama ne kadar saygı duyduğunu biliyorum ama bu söylenti uzun zamandır ortalıkta dolaşıyor. Babam Rokkenjima'daki tüm binaları bizzat kendisi inşa ettirdi."""
Ushiromiya Rudolf,"""...It's been suspected from the beginning that this mansion might have some hidden tricks or secret rooms known only to Dad, and it's also always been whispered that hidden somewhere on this island, there might be a secret mansion none of us know about.""","""...People've always guessed he had some contraption or secret room set up in this mansion that only he knew about, and it's always been whispered that, hidden somewhere on this island, there's a secret mansion none of us know about."" ","...It's been suspected from the beginning that Father had some device or secret room in this mansion, and it has always been whispered that a secret mansion that none of us knew about was hidden somewhere on this island.""",…屋敷の中には、親父しかわからない仕掛けや、隠し部屋なんかがあるんじゃないかって初めから疑われてたし、俺たちの知らない秘密の屋敷が、この島のどこかに隠されてるんじゃないかとも、ずっと囁かれてた。」,「…屋敷の中には、親父しかわからない仕掛けや、隠し部屋なんかがあるんじゃないかって初めから疑われてたし、俺たちの知らない秘密の屋敷が、この島のどこかに隠されてるんじゃないかとも、ずっと囁かれてた」,"""...С самого начала имелось подозрение о наличии у отца какого‐нибудь устройства или секретной комнаты в этом особняке, и шёпотом передавалось, что где‐то на этом острове скрыт особняк, о котором никто из нас не знает.""","""...Se suspeita desde o princípio que essa mansão possa ter algum tipo de quarto secreto que só ele tem conhecimento, e sempre foi dito que em algum lugar dessa ilha, pode haver uma mansão secreta que ninguém conhece.""",「…从一开始就有人怀疑，在这大屋中会不会有，只有爸知道的机关、秘密房间之类的东西，私下里还一直有传言说，这岛上的某处会不会藏着，我们谁都不知道的秘密宅邸。」,「…從一開始就有人懷疑，在這大屋中會不會有，只有爸知道的機關、秘密房間之類的東西，私下裡還一直有傳言說，這島上的某處會不會藏著，我們誰都不知道的秘密宅邸。」,"... Si è sempre sospettato che Papà avesse qualche dispositivo o stanza segreta in questa dimora, e si è sempre mormorato che un'altra abitazione di cui nessuno sapeva fosse nascosta da qualche parte su questa isola.""","""...It's been suspected from the beginning that this mansion might have some hidden tricks or secret rooms known only to Dad, and it's also always been whispered that hidden somewhere on this island, there might be a secret mansion none of us know about.""","""... Se sospecha desde el principio que esta mansión podría tener algún tipo de habitacion secreta que solo papá conoce, y siempre se ha dicho que en algún lugar de esta isla podría haber una mansión secreta que ninguno de nosotros conoce.""","""...ﻭﻛﺎﻥ ﻳُﻘﺎﻝ ﻣﻨﺬ ﺍﻟﺒﺪﺍﻳﺔ، ﺃﻥ ﺍﻟﻘﺼﺮ ﻳﺤﻮﻱ ﺁﻟﻴﺎﺕ ﻏﺮﻳﺒﺔ ﻭﻏﺮﻓًﺎ ﺳﺮﻳﺔ ﻻ ﻳﻌﺮﻓﻬﺎ ﺳﻮﺍﻩ، ﺑﻞ ﻭﺣﺘﻰ ﻗﻴﻞ ﺇﻧﻪ ﺑﻨﻰ ﻗﺼﺮًﺍ ﺳﺮﻳًﺎ ﺁﺧﺮ، ﻣﺨﻔﻴًﺎ ﻓﻲ ﻣﻜﺎﻥ ﻣﺎ ﻭﺳﻂ ﺍﻟﻐﺎﺑﺔ ﻹﻳﻮﺍﺀ ﺗﻠﻚ ﺍﻟﻌﺸﻴﻘﺔ.""","""...It's been suspected from the beginning that this mansion might have some hidden tricks or secret rooms known only to Dad, and it's also always been whispered that hidden somewhere on this island, there might be a secret mansion none of us know about.""","""...It's been suspected from the beginning that this mansion might have some hidden tricks or secret rooms known only to Dad, and it's also always been whispered that hidden somewhere on this island, there might be a secret mansion none of us know about.""","""...Başından beri bu malikanenin sadece Babamın bildiği bazı gizli numaraları veya gizli odaları olabileceğinden şüpheleniliyordu, ve ayrıca bu adada bir yerlerde saklı, hiçbirimizin bilmediği gizli bir malikanenin olabileceği de hep konuşuluyordu."""
Ushiromiya Kyrie,"""Yes, it has. This island might look small on a map, ...but it's quite large for just the Ushiromiya family to live on.""","""I see. This island might look small on a map, ...but it's quite large for just the Ushiromiya family to live on. ","""I see. This island might look small on a map, ...but it's quite large for just the Ushiromiya family to live on. ",「そうね。地図上は小さな島かも知れないけれど、…右代宮家だけが住むには広大過ぎる島だわ。,「そうね。地図上は小さな島かも知れないけれど、…右代宮家だけが住むには広大過ぎる島だわ」,"""Понимаю. Этот остров может выглядеть маленьким на карте... Но он слишком большой для того, чтобы здесь жила только семья Уширомия.""","""Isso mesmo. Essa ilha pode parecer pequena em um mapa, ...mas é bem grande para apenas a família Ushiromiya viver aqui.""",「是呢。虽说在地图上或许只是个小小的岛，…但以光住着右代宫家来讲，这岛就未免太过广大了。」,「是呢。雖說在地圖上或許只是個小小的島，…但以光住著右代宮家來講，這島就未免太過廣大了。」,"""Capisco. Quest'isola può sembrare piccola sulla mappa... ma è abbastanza grande perché ci viva solo la famiglia Ushiromiya.","""Yes, it has. This island might look small on a map, ...but it's quite large for just the Ushiromiya family to live on.""","""Sí, así ha sido. Esta isla puede parecer pequeña en un mapa, pero es bastante grande para que viva solo la familia Ushiromiya.""","""ﺻﺤﻴﺢ. ﻗﺪ ﺗﺒﺪﻭ ﺍﻟﺠﺰﻳﺮﺓ ﺻﻐﻴﺮﺓ ﻋﻠﻰ ﺍﻟﺨﺮﻳﻄﺔ، ﻟﻜﻨﻬﺎ ﻓﺴﻴﺤﺔ ﻟﻠﻐﺎﻳﺔ ﺑﺎﻟﻨﺴﺒﺔ ﻟﻌﺎﺋﻠﺔ ﻭﺍﺣﺪﺓ ﻓﻘﻂ.""","""Yes, it has. This island might look small on a map, ...but it's quite large for just the Ushiromiya family to live on.""","""Yes, it has. This island might look small on a map, ...but it's quite large for just the Ushiromiya family to live on.""","""Evet, öyle. Bu ada haritada küçük görünüyor olabilir, ...ama sadece Ushiromiya ailesinin yaşaması için oldukça büyük."""
Ushiromiya Kyrie,"""......So people have wondered whether he might have built a secret mansion somewhere in the uncivilized forest for his mistress to live in? That's a rather large‐scale story.""","...So people have suspected that he built a secret mansion somewhere in the uncivilized forest for his mistress to live in? That would be quite a large-scale scheme."" ","......So people have wondered whether he might have built a secret mansion somewhere in the uncivilized forest for his mistress to live in? That's a rather large-scale story.""",……そして未開の森のどこかに、愛人を住まわせるための隠し屋敷を作ったかもしれないと、そう思われてたのね？　ずいぶん、スケールの大きな話ね。」,「……そして未開の森のどこかに、愛人を住まわせるための隠し屋敷を作ったかもしれないと、そう思われてたのね？　ずいぶん、スケールの大きな話ね」,"""......Поэтому люди гадали: 'Не мог ли он построить тайный особняк где‐нибудь в диком лесу для того, чтобы там жила его любовница?' Это довольно масштабная история.""","""......Por isso as pessoas se perguntaram se ele não teria construído uma mansão secreta em alguma parte inabitada da floresta para a sua amante viver? Essa história tem mesmo uma larga escala.""",「……这就让人联想到了，在这尚未开发过的森林某处，说不定建着一栋让情妇居住的秘密宅邸吧？真是个规模相当庞大的传闻啊。」,「……這就讓人聯想到了，在這尚未開發過的森林某處，說不定建著一棟讓情婦居住的秘密宅邸吧？真是個規模相當龐大的傳聞啊。」,"... Quindi le persone si sono chieste se potesse aver costruito una dimora segreta da qualche parte nella foresta non civilizzata per farci vivere la sua amata? È una storia a larga scala.""","""......So people have wondered whether he might have built a secret mansion somewhere in the uncivilized forest for his mistress to live in? That's a rather large‐scale story.""","""... Por lo tanto, las personas se han preguntado si él no habría construido una mansión secreta en algún lugar deshabitado del bosque para que su amante viviera. Esa es una historia a gran escala.""","""...ﻟﺬﺍ ﺗﺴﺎﺀﻝ ﺍﻟﻨﺎﺱ ﻋﻤﺎ ﺇﺫﺍ ﻛﺎﻥ ﻗﺪ ﺑﻨﻰ ﻗﺼﺮًﺍ ﺳﺮﻳًﺎ ﻓﻲ ﻣﻜﺎﻥٍ ﻣﺎ ﻓﻲ ﺍﻟﻐﺎﺑﺔ ﻏﻴﺮ ﺍﻟﻤﺄﻫﻮﻟﺔ ﻟﺘﻌﻴﺶ ﻓﻴﻪ ﻋﺸﻴﻘﺘﻪ؟ ﻻ ﺷﻚ ﺃﻧﻪ ﻣﺨﻄﻂ ﻭﺍﺳﻊ ﺍﻟﻨﻄﺎﻕ ﺗﻤﺎﻣًﺎ.""","""......So people have wondered whether he might have built a secret mansion somewhere in the uncivilized forest for his mistress to live in? That's a rather large‐scale story.""","""......So people have wondered whether he might have built a secret mansion somewhere in the uncivilized forest for his mistress to live in? That's a rather large‐scale story.""","""......Bu yüzden insanlar, metresinin içinde yaşayabileceği medeni olmayan ormanda bir yerde gizli bir malikane inşa edip etmediğini merak ettiler. Bu oldukça geniş çaplı bir hikaye."""
Ushiromiya Rudolf,"""In the beginning, we used to say that it might be somewhere inside this mansion. ......That there might be a hidden basement, with a fabulous hidden room, where the witch in that portrait was secretly hiding.""","""In the beginning, people thought it might be somewhere inside this mansion. ...That there might be a hidden basement, with a fabulous hidden room, where the witch in that portrait was secretly hiding. ","""In the beginning, we used to say that it might be somewhere inside this mansion. ......That there might be a hidden basement, with a fabulous hidden room, where the witch in that portrait was secretly hiding. ",「最初はそれは、この屋敷の中じゃないかと言われてた。……秘密の地下とかがあったりして、そこに豪華な隠し部屋があり、あの肖像画の魔女が隠れ住んでるんじゃないかとかな。,「最初はそれは、この屋敷の中じゃないかと言われてた。……秘密の地下とかがあったりして、そこに豪華な隠し部屋があり、あの肖像画の魔女が隠れ住んでるんじゃないかとかな」,"""Сначала мы поговаривали, что это может быть скрыто где‐то внутри особняка. ......Что может существовать тайный подвал со сказочной скрытой комнатой, где прячется ведьма с портрета.""","""No princípio, nós costumávamos dizer que podia estar em algum lugar dessa mansão. ......Que pudesse ter um porão ignoto, com um fabuloso quarto, onde a bruxa do retrato estava vivendo em segredo.""",「一开始是传言，会不会就在这大屋之中？……比如说，那位肖像画上的魔女，会不会是隐居在了大屋地下，隐密的豪华房间之中？」,「一開始是傳言，會不會就在這大屋之中？……比如說，那位肖像畫上的魔女，會不會是隱居在了大屋地下，隱密的豪華房間之中？」,"""All'inizio, dicevamo che poteva essere da qualche parte in questa residenza. ... Che ci poteva essere un passaggio segreto, con una favolosa stanza segreta, dove la strega in quel dipinto si nascondeva.","""In the beginning, we used to say that it might be somewhere inside this mansion. ......That there might be a hidden basement, with a fabulous hidden room, where the witch in that portrait was secretly hiding.""","""En un principio, decíamos que podría estar en algún lugar dentro de esta mansión... algo como un sótano escondido, con una fabulosa habitación secreta, donde la bruja de ese retrato se escondía secretamente.""","""ﻓﻲ ﺍﻟﺒﺪﺍﻳﺔ، ﻛﻨﺎ ﻧﻘﻮﻝ ﺇﻧﻬﺎ ﻗﺪ ﺗﻜﻮﻥ ﺩﺍﺧﻞ ﻫﺬﺍ ﺍﻟﻘﺼﺮ ﻧﻔﺴﻪ. ﻗﺪ ﻳﻜﻮﻥ ﻫﻨﺎﻙ ﻗﺒﻮ ﺧﻔﻲ، ﻳﺤﺘﻮﻱ ﻏﺮﻓﺔ ﺳﺮﻳﺔ ﺭﺍﺋﻌﺔ، ﺣﻴﺚ ﺗﻜﻮﻥ ﺍﻟﺴﺎﺣﺮﺓ ﻓﻲ ﺗﻠﻚ ﺍﻟﻠﻮﺣﺔ ﻣﺨﺘﺒﺌﺔ ﺩﺍﺧﻠﻪ.","""In the beginning, we used to say that it might be somewhere inside this mansion. ......That there might be a hidden basement, with a fabulous hidden room, where the witch in that portrait was secretly hiding.""","""In the beginning, we used to say that it might be somewhere inside this mansion. ......That there might be a hidden basement, with a fabulous hidden room, where the witch in that portrait was secretly hiding.""","""İlk başlarda, bu malikanenin içinde bir yerlerde olabileceğini düşünüyorduk. ......Bu portredeki cadının gizlice saklandığı, muhteşem bir gizli odası olan, gizli bir bodrum olabilir diye."""
Ushiromiya Rudolf,"""...After seeing that intricate auto‐lock on Dad's study, it isn't too hard to imagine, right?""","...After seeing that intricate auto-lock on Dad's study, it isn't too hard to imagine, right?"" ","...After seeing that intricate auto-lock on Father's study, it isn't too hard to imagine, right?""",…親父の書斎の、凝ったオートロックの仕掛けとかを見てると、それも納得できるだろ？」,「…親父の書斎の、凝ったオートロックの仕掛けとかを見てると、それも納得できるだろ？」,"""...Взглянув на изощрённый автоматический замок в кабинете отца, нетрудно вообразить себе такое, верно?""","""...Após ver a intricada tranca automática no estúdio do pai, não é muito difícil de se imaginar isso, certo?""",「…看了爸书房那下足了功夫的自动锁，也就能理解这想法了吧？」,「…看了爸書房那下足了功夫的自動鎖，也就能理解這想法了吧？」,"... Dopo aver visto la chiusura automatica dello studio di nostro Padre, non è difficile da immaginare, no?""","""...After seeing that intricate auto‐lock on Dad's study, it isn't too hard to imagine, right?""","""... Después de ver esa intrincada cerradura automática en el estudio de papá, no es tan difícil imaginarlo, ¿cierto?""","""...ﺑﻌﺪ ﺭﺅﻳﺔ ﻫﺬﺍ ﺍﻟﻘﻔﻞ ﺍﻟﺘﻠﻘﺎﺋﻲ ﺍﻟﻤﻌﻘﺪ ﻓﻲ ﺣﺠﺮﺓ ﺩﺭﺍﺳﺔ ﺃﺑﻲ، ﻟﻴﺲ ﻣﻦ ﺍﻟﺼﻌﺐ ﺗﺨﻴﻠﻪ ﻭﺟﻮﺩﻩ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟""","""...After seeing that intricate auto‐lock on Dad's study, it isn't too hard to imagine, right?""","""...After seeing that intricate auto‐lock on Dad's study, it isn't too hard to imagine, right?""","""...Babamın çalışma odasındaki o karmaşık otomatik kilidi gördükten sonra bunu hayal etmek çok da zor olmaz, değil mi?"""
