Speaker,Steam (ST)
Gohda Toshiro,"""If you would, everyone, allow me to guide you to the guesthouse."" "
,"After enjoying the lovely welcome provided by the roses, the relatives followed Gohda in the direction of the guesthouse... "
,"October 4th, 1986. "
,Rokkenjima. In a world without Lion. ...On the day of the Ushiromiya family conference. 
,"Maria read a mysterious letter aloud after dinner, just as she had been told to. "
,The writer of the letter claimed to be the Golden Witch {f:5:Beatrice} and challenged the family. 
,"Try and solve the riddle of the epitaph. Otherwise, I will take everything. "
,"It was {f:5:Beatrice}'s announcement of the game's start, the same as the usual games. "
,"Had an unknown person appeared, related to the problem of the inheritance's distribution? Where was the 20 billion yen worth of gold hidden? What was the purpose of this letter? For what goal had it been written? Who on earth is this {f:5:Beatrice}? "
,"It was the usual dinner on October 4th, ...where several bits of suspicion and paranoia intertwined. "
Ushiromiya Rosa,"""George-kun, I'm sorry, but could you go to the guesthouse with the others? My apologies."" "
Ushiromiya Natsuhi,"""...Shannon, take the children to the guesthouse. We will move straight on to the family conference."" "
Shannon,"""Y-Yes. As you wish..."" "
Ushiromiya Krauss,"""{f:5:Beatrice}, the Golden Witch... What a fascinating letter you've sent us..."" "
Ushiromiya Eva,"""She's telling us to solve the epitaph...? Ridiculous. That gold belongs to us. Why would we ever give it up to some outsider...?!"" "
Ushiromiya Rudolf,"""...If we could just find that gold, we'd all be happy. No one would have to lose anything."" "
Ushiromiya George,"""Let's go, everyone. They'll be having an adult conversation from here on out..."" "
Ushiromiya Battler,"""...Sheesh. Sounds like it's gonna get complicated."" "
Ushiromiya Jessica,"""Come on, Maria... Let's go..."" "
Ushiromiya Maria,"""Beato's ceremony has begun... Kihihihihihihi..."" "
Shannon,"""Okay, everyone, ...I shall guide you to the guesthouse..."" "
Ushiromiya Lion,"""...What's...all this about...?"" "
Ushiromiya Ange,"""Probably a replay of one of the old games, ...or else an entirely new game. In all the games, October 4th happens in pretty much the same way."" "
Ushiromiya Lion,"""...A new game? You mean, a tale that hasn't appeared in any of the Fragments so far?"" "
Ushiromiya Ange,"""There's no way they'd go to the trouble of chaining us down if they just wanted to show us a game we already know. ...It's probably a new game. That means there should be a Game Master. ...Who is it? ...That witch? {f:5:Bernkastel}...?"" "
Ushiromiya Lion,"""I...can't imagine so. ...Clair should have vanished already. There should be no need to spin up a new tale..."" "
Ushiromiya Ange,"""Beato's game board was hijacked by those evil witches long ago. Even Beato is nothing more than a piece in their games."" "
Ushiromiya Lion,"""...Just who is behind this, ...and what are they after? What do they want to show us...?"" "
,"Before this tale began, Clair definitely appeared on the stage. "
,"She is the teller of the tale of {f:5:Beatrice}'s game. {f:5:Beatrice}, the ""me"" from a world of a different fate. "
,"However, didn't she entrust everything to Will, who solved all of the riddles? "
,There should be no need for her to make new riddles... 
,"...In that case, is {f:5:Bernkastel} using this tale to test me...? "
,"Along with Will, I have at least touched the deepest depths of this tale...and understood the culprit's heart. "
,"So, even if an entirely new tale presents itself, I should be able to see through the riddles. "
,...Is that...what my role is...? Is my role to teach Ange about the truth of this tale...? 
Ushiromiya Lion,"""...Do you know? ...Do you know the truth of this tale?"" "
Ushiromiya Ange,"""I have several theories. Still, none of those can give a conclusive answer. The truth is always inside the cat box. I can't say anything for sure."" "
,"In this world, Ange is absent on this day. So, it's only natural that she doesn't know what happened. "
,"However, at the very least, I do know who the culprit is...and what they were trying to do on this day... "
Ushiromiya Lion,"""...I think... I've finally understood my role in this."" "
Ushiromiya Ange,"""What do you mean?"" "
Ushiromiya Lion,"""Apparently, you're here as a theatergoer, and I'm here as a commentator."" "
Ushiromiya Ange,"""Then as a commentator, what exactly is it you're going to explain for me?"" "
Ushiromiya Lion,"""After all, ......I know who's behind the crime that's about to occur."" "
Ushiromiya Ange,"""What did you say...?"" "
Ushiromiya Krauss,"""Thinking about it straightforwardly, ...the only explanation I see is that someone's trying to make us solve the epitaph, hoping to then snatch the gold for themselves."" "
Ushiromiya Rudolf,"""I agree. If they'd already solved it, they could just take it. There'd be no need to challenge us to solve the riddle."" "
Ushiromiya Eva,"""It's a prank by one of the servants. They must be hoping to pick up the scraps from the celebration if the gold is found."" "
Ushiromiya Natsuhi,"""I cannot imagine that any of our servants would do such a thing..."" "
Ushiromiya Rosa,"""...Or, maybe one of us sent the letter, pretending to be a servant."" "
Ushiromiya Eva,"""If that's it, you're the most suspicious one. You schooled Maria-chan on her part and made her read the letter, didn't you?"" "
Ushiromiya Rosa,"""I-I wouldn't do that...!"" "
Ushiromiya Hideyoshi,"""Give that a rest, Eva. We can't jump to conclusions. Isn't this the time for us all to stick together?"" "
Ushiromiya Kyrie,"""That's right. The aim of this strange letter is probably to disrupt our unity. The more we let it affect us, the more things will go the way of this ""{f:5:Beatrice}"" who sent it."" "
Ushiromiya Krauss,"""Kyrie-san's right. Wouldn't it be best to simply ignore a letter like that from the start?"" "
Ushiromiya Natsuhi,"""That is what I have been saying this whole time. This sort of prank is not worth considering!"" "
Ushiromiya Hideyoshi,"""Yes, that's it exactly. If a couple improbable claims for damages get ya flustered, you'll never be able to sell anythin'!"" "
Ushiromiya Eva,"""My husband's right. This is a child's prank, and taking it seriously is just a waste of time. If someone really wanted to shake up the inheritance issue, they'd come forward boldly instead of using something this roundabout."" "
Ushiromiya Rudolf,"""You've got it right there. Someone probably wants to make us think there's another person trying to make demands about the inheritance, when their real goal is just to pick up the scraps."" "
Ushiromiya Rosa,"""...I wonder if they'll ask for some hush money in exchange for staying out of the inheritance issue."" "
Ushiromiya Kyrie,"""If that were the case, they should have written it into the letter."" "
Ushiromiya Krauss,"""And the letter is just a challenge, telling us to try solving the epitaph or else hand over everything."" "
Ushiromiya Hideyoshi,"""The culprit is tryin' to make us solve the epitaph's riddle! Nothin' more, nothin' less."" "
Ushiromiya Rudolf,"""So, it's simple. If we worry about this letter, we lose."" "
Ushiromiya Krauss,"""Indeed, I agree. ...After that big mysterious show, like something out of a mystery novel, we've all gotten a bit too wrapped up in this. ...Hahahaha. It seems we're all taking this too seriously."" "
Ushiromiya Natsuhi,"""But who did it? ...Such an aggravating thing to do."" "
Ushiromiya Eva,"""If it wasn't a servant, then one of us must have written it. I'm not naming names, of course."" "
Ushiromiya Rosa,"""St-Stop it. I really know nothing about this...!"" "
Ushiromiya Hideyoshi,"""Settle down. Anyway, what this letter says does make a bit of sense. ...All of us need money. And, if possible, we need it right away. No one here has any objections to that, right...?"" "
Ushiromiya Rudolf,"""...Of course not. Whether it's money or love, you can never have too much."" "
Ushiromiya Krauss,"""We don't know when Father's inheritance will come to us. ...However, the gold of the epitaph is different. If we find it, we could just split it then and there."" "
Ushiromiya Eva,"""In a sense, it's even closer to us now than the inheritance is."" "
Ushiromiya Rosa,"""Assuming we can solve the epitaph..."" "
Ushiromiya Kyrie,"""...Everyone here has tried solving it on their own, yes?"" "
,"Kyrie asked the room at large, and everyone wordlessly nodded back. "
Ushiromiya Kyrie,"""Here, we have four people who have inherited the blood of the one who made that riddle, ...and each has tried solving it on their own. That doesn't sound very efficient, does it?"" "
Ushiromiya Rudolf,"""...True. We've all been greedy and tried to go it alone. ...However, we've already reached a decision about how we'll split the gold up if it's found. And about acknowledging Aniki as the Successor."" "
Ushiromiya Krauss,"""Though you demanded quite a lot in exchange."" "
Ushiromiya Rosa,"""...I wonder if we can solve that epitaph...if we pool our efforts and work together..."" "
Ushiromiya Kyrie,"""Two heads are better than one. And here, we have seven."" "
Ushiromiya Eva,"""Today, we reached a general agreement about the inheritance problem. ...Why not take a shot at the epitaph for a bit of fun on the side?"" "
Ushiromiya Hideyoshi,"""Nice idea. Let's give it a try and call it a break."" "
Ushiromiya Natsuhi,"""...Ridiculous. Of course there's no hidden gold..."" "
Ushiromiya Rudolf,"""Take it easy. Just think of it as a game. Let's have Gohda-san bring us something cool to drink. We can take a break and all play with riddles as a big, happy bunch of siblings for once."" "
Ushiromiya Krauss,"""Hmmm. Well, the night is long. It would at least be more productive than pointless inquiries into Father's health."" "
Ushiromiya Rosa,"""I'll ring up Gohda-san. He can bring us something."" "
Ushiromiya Eva,"""Let's have tea and sweets. ...Oh, and a map of Taiwan."" "
,Two shadows could be seen in the rose garden arbor. ...It was George and Shannon's secret meeting. 
Ushiromiya George,"""I want you to take this ring."" "
Shannon,"""...G-George-sama..."" "
Ushiromiya George,"""I swear to love you all my life. ...Not just now, while we're young. I swear to love you and keep you happy until we get old and go to our graves."" "
Shannon,"""...And are there any lies or exaggerations in your words?"" "
Ushiromiya George,"""No, not one. I'm confident in my resolve to love you and build a happy household together with you."" "
Shannon,"""And what would this happy household be like?"" "
Ushiromiya George,"""Well, it will be full of happiness. We'll have a house, with a car and a yard. And one dog. The yard will have a vegetable garden. The kids will run around, and we'll smile down on them from the balcony. That's what our typical future Sunday will look like."" "
Shannon,"""That...would be wonderful..."" "
Ushiromiya Battler,"""Whaaaat?!! Those two're going out?!"" "
Ushiromiya Jessica,"""Shhh! Why are you so damn loud?! Maria'll wake up...!"" "
Ushiromiya Battler,"""I-I see. So that's how it is... Now that you mention it, they seemed to have a pretty good mood going on there. ...That's right, we're about the age where you fall in love."" "
Ushiromiya Jessica,"""We've changed a lot in the last six years. George nii-san used to be a bit unreliable, but he isn't anymore."" "
Ushiromiya Battler,"""That's what I thought. George-aniki's got that ""air of dignity"" thing going."" "
,"...But still, Shannon-chan and George-aniki. That's a bit unexpected. "
,"They played together often enough six years ago, but I didn't think they were that close. "
Ushiromiya Battler,"""...Well, six years is a long time."" "
Ushiromiya Jessica,"""These six years have been huge for all of us."" "
Ushiromiya Battler,"""Yep. ...A lot's happened to me these six years, and to be honest, I've forgotten almost everything about Rokkenjima."" "
Ushiromiya Jessica,"""And I'd forgotten almost everything about you too."" "
Ushiromiya Battler,"""Now that really hurts, ihihi!"" "
,"Talking together like this, it felt as though we'd been teleported six years into the past. "
,"Six long years, so long that I forgot almost everything. And yet, it's coming back to me, bit by bit. "
,......Shannon-chan. 
,"Six years ago, you were part of our group, and we played together a lot, didn't we... "
,"Back then, I think I might've...liked Shannon-chan. "
,"That was the age when we were all overly self-conscious, in love with love. "
,"Bittersweet memories of jokes involving melodramatic, flippant words. "
Ushiromiya Battler,"""...That takes me back. I think I remember saying all kinds of stuff that I'd be way too embarrassed to say now. Gyaaah, just remembering it is making my face go red!"" "
Ushiromiya Jessica,"""Hihihi. Shannon might be a scatterbrain, but her memory's incredible. Guess I'll just have to ask her all about your dark, embarrassing history."" "
Ushiromiya Battler,"""Qu-Quit it. That was six years ago, the statute of limitations has gotta be up...!"" "
,"...I see. So, Shannon-chan is going out with George-aniki. "
,......... 
,What am I thinking? Could this be...jealousy? 
,"I didn't really think about it until now, ...but that thing Shannon-chan and I had back then...was probably my first love. "
,"Well, it's not like I have any right to be jealous, after forgetting the whole thing until we met again. "
Ushiromiya Rudolf,"""Everyone knows that Dad's hometown was Taishou in Taiwan."" "
Ushiromiya Krauss,"""He still chews areca nuts from time to time in memory of that place. Apparently, he got hooked on that instead of smoking when he was young."" "
Ushiromiya Rosa,"""...But there must be several rivers there with sweetfish swimming in them."" "
Ushiromiya Eva,"""It has several mountain streams that are famous sweetfish fishing spots. ...Anyway, you could probably find sweetfish living anywhere the water was clean. We're completely stuck."" "
Ushiromiya Hideyoshi,"""Maybe it was just some nearby creek Father played in as a kid. He said sweetfish, but maybe we're lookin' for somethin' more like carp."" "
Ushiromiya Kyrie,"""...Or, it could be some sort of metaphor. The river isn't necessarily a river with water flowing through it."" "
Ushiromiya Natsuhi,"""What do you mean by that...?"" "
Ushiromiya Kyrie,"""Well now... ...Who knows?"" "
Ushiromiya Rudolf,"""Kyrie has a point there. Isn't it a bit too early to be sure that Taiwan is this homeland, or that this sweetfish river is a river with water flowing down it?"" "
Ushiromiya Hideyoshi,"""If we look at it that way, we're just stuck again. The more you think about this riddle, the harder it gets."" "
Ushiromiya Eva,"""...That's it. This is just a riddle. ...Kyrie-san is right. We need to be flexible in our thinking..."" "
Ushiromiya Rosa,"""If we're looking for a river near Taishou, ...that would have to be Danshui River..."" "
Ushiromiya Eva,"""Are you even listening?! We just said that it might not be the kind of river with water flowing down it! Is there any proof that this river is a sweetfish river?!"" "
Ushiromiya Rosa,"""Y-You're right... I-I'm sorry..."" "
Ushiromiya Rudolf,"""...Well, it probably did have sweetfish in it. After all, ""danshui"" does mean freshwater. Makes sense that a freshwater fish like sweetfish would be swimming in it."" "
Ushiromiya Krauss,"""Sweetfish are freshwater fish. So, a sweetfish river would be a freshwater river. ...Is that how we get Danshui River? Hahahaha, quite the word game."" "
Ushiromiya Kyrie,"""Now that's an interesting theory. ...Let's advance our reasoning a bit further. As you travel down the river, you will see a village. ...What's the name of the town at the mouth of Danshui River?"" "
Ushiromiya Natsuhi,"""......It says ""Danshui"" here."" "
Ushiromiya Eva,"""I went sightseeing in Danshui. It was a calm and gentle harbor town. Beautiful sunsets."" "
Ushiromiya Rudolf,"""Did you find ""the shore the two will tell you of""?"" "
Ushiromiya Eva,"""...Not really. It doesn't ring any bells."" "
Ushiromiya Rosa,"""I guess the beloved hometown wasn't in Taiwan. It might have been Odawara after all."" "
Ushiromiya Krauss,"""If we can't discount any possibilities, ...then we won't get anywhere. We can't even get past the first line of the epitaph."" "
Ushiromiya Eva,"""Quiet, you're distracting me! ...It has to be Taiwan. Father wouldn't describe any other place as ""beloved""!"" "
Ushiromiya Natsuhi,"""...That is one thing we can agree upon. To this very day, Taiwan is the homeland of Father's heart."" "
Ushiromiya Rosa,"""It's probably best if we don't spend too much time on the first line. I'm going to take a look at the others. ...Just a quick peek, starting at the first twilight."" "
Ushiromiya Rudolf,"""...Me too. I'll leave the sweetfish river to you, Aneki, and have a go at the second half."" "
Ushiromiya Kyrie,"""On the first twilight, offer the six chosen by the key as sacrifices... How mysterious."" "
Ushiromiya Eva,"""...I-I've got it."" "
,Eva suddenly muttered. All of the others spun around to look at her. 
,"Eva was flipping through the pages about Taiwan with incredible force, then found the page she was looking for and slammed the book open so hard that it almost tore. "
,"This whole time, the book had been opened to the page with place names. As far as the overall mass of information went, this seemed the most useful page to start from. "
,"However, the page Eva opened to was very limited in the scope of its information. "
,It was...a map of railway lines. 
Ushiromiya Eva,"""...As you travel down the river, ...there's a village, ...a village. ......!! There it is, the village!"" "
Ushiromiya Krauss,"""...Wh-What are you talking about, Eva? Explain yourself."" "
Ushiromiya Eva,"""Quiet!! There's a shore too, and a mouth...! I'm not sure what it means by ""the two"", ...but there definitely is a village and a shore and a mouth...!! This has to be it... This is definitely the village where the key to the gold sleeps...!!"" "
Ushiromiya Hideyoshi,"""C-Calm down...! Explain it so we can understand too!"" "
Ushiromiya Kyrie,"""...The Danshui Line? ...I see. So, the sweetfish river was actually a railroad called the Danshui Line?"" "
Ushiromiya Natsuhi,"""Well, I doubt there are any sweetfish swimming there..."" "
Ushiromiya Eva,"""Look!! If we follow the Danshui Line down, there's a station that used to be known as Kirigan! Look at the characters it's written in!! There's a village ({p:0:里}), a mouth ({p:0:口}), and a shore ({p:0:岸})!!"" "
Ushiromiya Hideyoshi,"""Sh-She's right...! There's a village, mouth, and shore...!!"" "
Ushiromiya Rudolf,"""......As you travel down the river, you will see a village. ...True, that's the only station on the Danshui Line that has the character for village in its name."" "
Ushiromiya Krauss,"""I see, it's like a code pointing towards this station's name..."" "
Ushiromiya Eva,"""This has to be it! There's no doubt...!! We just need to look a bit further, and we'll definitely find out what ""the two who speak"" means...!! ...L-Look!! This is it! This is it!"" "
Ushiromiya Kyrie,"""The region around the station has the same name, except with a mouth in the second character. ...That makes a total of two mouths in Kirigan. Are those ""the two who speak""?"" "
Ushiromiya Rosa,"""...I-Incredible, Nee-san. This has to be it..."" "
Ushiromiya Natsuhi,"""Does this mean that the key is hidden somewhere in this town of Kirigan...?"" "
Ushiromiya Kyrie,"""I wonder. ...The whole riddle so far has been a word game. If so, isn't it likely that the sleeping key is also a word game?"" "
Ushiromiya Eva,"""I agree. On the first twilight, the key selects six sacrifices, right? So, it's hard to imagine that it's actually something key-shaped...!"" "
Ushiromiya Rudolf,"""...Whoo. ...This is getting...damn interesting..."" "
Ushiromiya Eva,"""Offer up the six chosen by the key. ...Let's think of a key that's somehow related to this! And let's break down this name, ""Kirigan""! I'm absolutely sure that this is a word game! It has to be...!! Think, everyone!!"" "
Ushiromiya George,"""That's interesting. ...Though this rain would get me down if I were alone, it feels nice and cool when you're by my side."" "
Shannon,"""...It's about time for us to head back. I'm keeping Kanon-kun waiting."" "
Ushiromiya George,"""You're right. And I've probably kept Jessica-chan and Battler-kun waiting."" "
Shannon,"""It brings back good memories. Remember when the four of us used to play together? ...It was a lot of fun back then too."" "
Ushiromiya George,"""To me, it's a lot more fun now. Because I get you all to myself."" "
Shannon,"""*giggle* ...Oh, George-sama."" "
,"They laughed at George's melodramatic line. However, George's laugh seemed just slightly forced. "
Shannon,"""...George-sama?"" "
Ushiromiya George,"""Hmm? ...Oh, I'm sorry. ......Well, I guess I still have a bit of an inferiority complex when it comes to Battler-kun."" "
Shannon,"""An...inferiority complex?"" "
Ushiromiya George,"""Like Uncle Rudolf, he's lively, interesting, and just full of energy. He's much more attractive than I am. ...I can tell how much he outshines me when we're together."" "
Shannon,"""That's not true. You're very accomplished and attractive. You aren't worse than Battler-sama in any way."" "
Ushiromiya George,"""...Really?"" "
Shannon,"""Yes. Really."" "
Ushiromiya George,"""The truth is... ...When I first heard that Battler-kun would be coming back this year, ...I wasn't happy about it."" "
Shannon,"""Why not...?"" "
Ushiromiya George,"""...Six years ago, ...Battler-kun was the one who was really close to you. I wanted to get closer to you, but I just couldn't manage to get between the two of you. ...You two just looked so good together that I could do nothing but watch on longingly."" "
Shannon,"""Is that how it was...? Wasn't it just Battler-sama making fun of me one-sidedly..."" "
Ushiromiya George,"""...Of course you looked incredibly good together. There's no doubt about that. ...I was sure that you two were going out."" "
Shannon,"""That never happened. You're overthinking it..."" "
Ushiromiya George,"""......I really am pathetic. I was afraid that when I handed you this ring today, you'd refuse."" "
Shannon,"""Why is that? ...Why should I refuse your ring, George-san?"" "
Ushiromiya George,"""Because...Battler-kun came back. I was afraid that you might like Battler-kun even now... ...and that, now that he's here, you wouldn't have any use for me."" "
Shannon,"""......George-san? Please, look at this. You see this silver glint on my ring finger? What do you think that is?"" "
Ushiromiya George,"""...You're right. Sorry. What's got me so shaken, I wonder. ...I'm probably still jealous of him, now that he's gotten even cooler these past six years. ...How pathetic."" "
Shannon,"""No, it's okay. Those feelings are a sign that your love for me is so strong, you don't want to give me up to anyone. ...If you're worried about my feelings switching to Battler-sama, just love me all the stronger so that such a thing would be unthinkable. ...Love me so much that I don't have time to think about other men."" "
Shannon,"""I'm scared too. I'm sure you'll meet many women in the future who are much more attractive than me. Or, you might tire of me when I don't match up to your expectations. It scares me to think that I might not be able to grasp hold of your feelings for the rest of my life."" "
Ushiromiya George,"""There's no need for you to be scared of that. I swear to love you all my life."" "
Shannon,"""But even though I swore the same thing, you're having trouble believing it just because Battler-sama came back."" "
