Speaker,Steam (ST)
Clair,"""Yes. ...For me, the important thing is whether the person understands me, not how well I know them."" "
,...The one I wanted to understand didn't. ...A person I don't know did understand. 
,"There's nothing sad about it. On the contrary, I'm grateful for this miracle. A person was able to understand, even though he has no relation to me. "
Clair,"""You are a good observer...and the only one who has managed to understand me. ...That connection is strong enough."" "
Willard H. Wright,"""......Understood."" "
Clair,"""I offer my heart to you, ...nameless and wonderful observer."" "
Willard H. Wright,"""............"" "
{f:5:Bernkastel},"""...Lion, stand back."" "
Ushiromiya Lion,"""Huh? ...What's going to happen...?"" "
{f:5:Bernkastel},"""In the mystery genre, there can be no death unless the detective performs the last rites."" "
Willard H. Wright,"""...Will just stopping your heart be enough...?"" "
Clair,"""When you mourn the dearly departed, do you put just their heart into the coffin?"" "
Willard H. Wright,"""...Got it. ...That which was born from earth will return to earth. ...I'll return all of you to the earth."" "
Clair,"""Earth to earth. Ashes to ashes, dust to dust. Illusions to illusions. And dreams to dreams."" "
Willard H. Wright,"""......Right."" "
Clair,"""...Then let us begin. ...This is my...burial."" "
Willard H. Wright,"""Whenever you're ready."" "
Clair,"""Let us start. ...This is almost like the end of my last game."" "
,"Light gathered at Will's back, and a sword materialized there. "
,"Slowly, ...he drew it out. "
,"Its pitch-black tip, which could neatly slice apart truth from fiction, swung once, leaving a black trail, and then again, leaving a white trail. "
Willard H. Wright,"""...I'll cut the truth out from the fiction. ......Come."" "
,"Following Will's lead, a similar sword appeared in Clair's hand. "
,"Its tip glinted silver, the opposite of Will's. "
Clair,"""First game, first twilight. Six corpses in the gardening shed."" "
Willard H. Wright,"""Illusions to illusions. ...The corpse that cannot return to earth returns to illusions."" "
,Will's pitch-black slash cut across Clair's body at an angle. 
,"The blade passed through her like she was water, ...but its tip sent golden flower petals scattering. "
Clair,"""First game, second twilight. Two corpses are close in a closed room protected by a chain."" "
Willard H. Wright,"""Illusions to illusions. ...A chain of illusions can only trap illusions."" "
,The razor-thin black blur sent golden flower petals scattering again... 
Clair,"""First game, fourth twilight. The old Head from the closed room study, confined in a scorching furnace."" "
Willard H. Wright,"""Illusions to illusions. ...Let the man of illusions go to where he belongs."" "
Clair,"""First game, fifth twilight. The last moments of the sacrificed boy with a stake in his chest."" "
Willard H. Wright,"""Illusions to illusions. ...The witch and stake of illusions can pierce naught but illusions."" "
Clair,"""First game, sixth, seventh, and eighth twilights. Three corpses lying in the closed room of the singing girl."" "
Willard H. Wright,"""Illusions to illusions. ...Illusions are the blind girl's song. Illusion of a closed room."" "
Clair,"""......Well done. ...Yes, you really are splendid."" "
Willard H. Wright,"""...That was a risky game from the very start. ...What if the guy really wanted to see that dead face anyway and just stepped inside?"" "
Clair,"""That's what it means to abandon one's self to fate."" "
Willard H. Wright,"""...That's what your roulette is, isn't it?"" "
Clair,"""Let us continue. Second game, first twilight. The six with their stomachs split in the closed room chapel."" "
Willard H. Wright,"""Illusions to illusions. ...The gold truth locks the lock of illusions."" "
Clair,"""Second game, second twilight. The two who are close cannot even be close as corpses."" "
Willard H. Wright,"""Illusions to illusions. ...Illusions who have fulfilled their role do not leave even a corpse behind."" "
Clair,"""Second game, fourth, fifth, and sixth twilights. In Natsuhi's closed room, none are left alive."" "
Willard H. Wright,"""Earth to earth. ...No one would dispute that a coffin is a closed room."" "
Clair,"""Second game, seventh and eighth twilights. The two sliced to death by the red-eyed illusion."" "
Willard H. Wright,"""Earth to earth. Illusions to illusions. ...No illusion can create a corpse."" "
,"Every time the blade passed through Clair's body, golden flower petals flew everywhere. "
,"...The petals covering her heart were being torn away, bit by bit. "
,The Illusion of the Witch was breaking down...and becoming flower petals. 
Clair,"""Third game, first twilight. Six corpses connected by the linked closed rooms."" "
Willard H. Wright,"""Illusions to illusions. ...In a closed room ring, the end and the beginning overlap."" "
Clair,"""Third game, second twilight. The corpses of mother and child lay together in the rose garden."" "
Willard H. Wright,"""Earth to earth. ...No falsehoods in their final moments as told."" "
Clair,"""Third game, fourth, fifth, and sixth twilights. Three corpses lying in the mansion."" "
Willard H. Wright,"""Earth to earth. ...No falsehoods in their final moments as told."" "
Clair,"""Third game, seventh and eighth twilights. The corpses of husband and wife lay exposed under the arbor."" "
Willard H. Wright,"""Earth to earth. ...The obvious culprit wields a mutable blade."" "
Clair,"""Fourth game, first twilight. A massacring storm sweeps through the dining hall."" "
Willard H. Wright,"""Illusions to illusions. ...Tales woven by the gold truth return to illusions."" "
Clair,"""Fourth game, second twilight. The two youths face a trial and pass away together."" "
Willard H. Wright,"""Illusions to illusions. ...Tales woven by the gold truth return to illusions."" "
Clair,"""Fourth game, fourth, fifth, sixth, seventh, and eighth twilights. None of the runaways are left alive."" "
Willard H. Wright,"""Earth to earth. Illusions to illusions. ...Silent corpses, adorned by fiction."" "
Clair,"""Fourth game, ninth twilight. And none shall be left alive."" "
Willard H. Wright,"""Earth to earth. Illusions to illusions. ...When fiction is shut up inside a cat box, it becomes truth."" "
,"...Over and over again, Clair's body was sliced by the pitch-black sword. "
,"As proof, the chapel was now filled with golden flower petals, ...which danced around like gold snow. "
Ushiromiya Lion,"""...It's beautiful......"" "
{f:5:Bernkastel},"""Who wouldn't want their last moments to be like that?"" "
,The gold snow was like confetti at the finale of a show. The curtains were finally falling on the stage that was her. 
Clair,"""...Then, one final question."" "
Willard H. Wright,"""......Sure."" "
,Clair slowly raised her hands. The sword she held became golden rose petals and melted away. 
,"She stood there, arms wide, waiting for the final strike... "
Clair,"""Who...aaam I...?"" "
Willard H. Wright,"""Illusions...to illusions. ...The promised reaper lowers the curtains on the tale regardless of the witch's will."" "
,The pitch-black blade that Will swung high... ...cut down Clair's form. 
,"At the same time, she was blown away by a gust of wind. ...Her human form crumbled in an instant, became a storm of golden flower petals, and was torn apart. "
,"After she was blown away, a golden heart remained in midair, but it too was swallowed by the torrent of wind and broke down into flower petals. "
,"The gold torrent of wind swirled around the chapel... Then, the swirl of petals scattered out of existence...and vanished... "
,"A few remaining petals danced around like snowflakes, and those final vestiges decorated the chapel beautifully. "
,......A beam of light lit the center of the stage. 
,"There stood Clair, whose tale had ended. "
,"Then, slowly, ...softly, ...she faced the audience and bowed. "
,Applause spread throughout the room. 
,"The long, long tale she had just finished telling was being given a massive applause. "
,It went on and on. ...And on and on. 
,The stage slowly sunk into the darkness of oblivion. 
,"Behind the darkness and the curtain, Clair continued to bow in front of the unending applause...and disappeared. "
,...People are born with sin...and live life to obtain forgiveness from someone. 
,Or perhaps they are born with riddles...and live life searching for someone to solve them. 
,"Here, all of her riddles had been solved, ...leaving no lingering regrets behind. "
,People are riddles. 
,"They want someone else to solve their riddle. They live life wanting someone to solve the riddle that they are, the most difficult riddle in the world. "
,They want someone to look at the riddle they are. And they want that person to solve it. 
,"For her, that wish has been granted... "
,...Her soul will wander no longer. 
,"Sleep in endless peace, in your cat box coffin... "
,"Though there had been so many golden flower petals flitting about like a blizzard, ...not a single one remained. "
,"Everything had become dust, vanishing as though there had been nothing there in the first place, ...and all was silent once more. "
,"Come to think of it, even the sound of rain is gone. The rain must have stopped at some point. "
Ushiromiya Lion,"""............"" "
Willard H. Wright,"""...Meeting you was her salvation."" "
Ushiromiya Lion,"""I...hope so."" "
Willard H. Wright,"""She cursed herself and her inescapable, dead-end fate...and gave up. ...Meeting you, a happy miracle in her eyes, saved her in a way nothing else could. ...So don't make that face."" "
{f:5:Bernkastel},"""......Heh."" "
Willard H. Wright,"""That was a pretty tasteful ending...for you."" "
{f:5:Bernkastel},"""...Auau only told me to carry out the funeral. ...Well, I pretty much just called a facilitator, you, and let you do everything."" "
Ushiromiya Lion,"""Thank you, Will."" "
Willard H. Wright,"""...Nn."" "
Ushiromiya Lion,"""In Clair's place, I want to thank you. ...Thanks for cutting off all the lingering regrets...of a ""me"" of a different fate."" "
Willard H. Wright,"""...I thought I'd see a bit more head clutching and panic from you."" "
Ushiromiya Lion,"""I understand now. ...I realize how happy my life has been. ...If fate had toyed with me...and if I was living in another world, I might have gotten stuck in the same dead-end of fate. ...However, thanks to an extremely improbable bit of good luck, I live in this world. ...I now know how much that means, ...how much it's worth."" "
Willard H. Wright,"""............"" "
{f:5:Bernkastel},"""......What's up? Why the surprised look?"" "
Willard H. Wright,"""I thought decent witches didn't exist, ...but I might have to change that theory."" "
{f:5:Bernkastel},"""Don't worry, no need to change it. ...I only joined that kid's game to kill some time. ...And, though I lost, I enjoyed playing. "
{f:5:Bernkastel},"...That kid died without folding up her game board. ...I just took charge of cleaning up...as thanks to her for letting me play and because it's the loser's duty."" "
Willard H. Wright,"""...I was sure you'd be a lot crueler than this."" "
{f:5:Bernkastel},"""Crueler?"" "
Willard H. Wright,"""I thought this'd be a cruel game that neglects the heart."" "
{f:5:Bernkastel},"""Yes, it was a cruel game. ...Though she claimed that the game was fantasy, I've brought you along and made it end as a mystery. ...The Illusion of the Witch has been spectacularly crushed, and my little bit of revenge is complete."" "
Willard H. Wright,"""............"" "
{f:5:Bernkastel},"""This tale of intertwined loves ends thanks to an absolute and certain willpower. ...Out of respect for that certain willpower, the Witch of Certainty made that kid a witch for just two days."" "
{f:5:Bernkastel},"""...Even within this limited span of two days, I've been able to enjoy an endless kaleidoscope. ...I won't be bestowing my favor, so no miracle will occur. ......However, even this ending is something that child wished for."" "
Ushiromiya Lion,"""...I wonder which truth actually lay at the end of this endless tale."" "
Willard H. Wright,"""Who knows? Not being able to say that for sure.... is what makes it a cat box."" "
{f:5:Bernkastel},"""When you open the box, you get a tale where no trace of the mansion remains, and no one except Eva survives. ...Now that Eva has died without saying anything, all the truth is inside the cat box. ......Endless possibilities, all kept within a limited box."" "
Ushiromiya Lion,"""...Now that I think about it, maybe the whole island where she lived and died was the Golden Land."" "
{f:5:Bernkastel},"""If you can call a cat box a Golden Land, that is. ...By the way, Battler has written up the most fun tale imaginable of the inside of the cat box."" "
Willard H. Wright,"""...You mean that book in {f:5:Beatrice}'s coffin?"" "
{f:5:Bernkastel},"""That's right. ......It's the happiest possible tale for her, which he thought up himself."" "
Ushiromiya Lion,"""It was a really fun, love-filled, ...happy tale. ...I also think...that tale was the most fitting one to put in her coffin."" "
Willard H. Wright,"""No, that's wrong."" "
Ushiromiya Lion,"""...Huh?"" "
Willard H. Wright,"""......You heard Clair. ...You are her hope and her salvation. More than anything else, you living on in happiness will be her salvation."" "
Ushiromiya Lion,"""...... ...Right."" "
{f:5:Bernkastel},"""...Live happily. That's all you need to do to be that kid's miracle."" "
Ushiromiya Lion,"""Yes. ......I'll live happily enough for the both of us."" "
Willard H. Wright,"""...I'm surprised you found this kid. Didn't you have to search through about 200,000 of them in that vast sea?"" "
{f:5:Bernkastel},"""Such trivialities are all I am capable of."" "
Willard H. Wright,"""......Hmph."" "
{f:5:Bernkastel},"""And now, the funeral is over. ...As promised, I've released the barrier. Once you leave, time will start moving again like normal."" "
Willard H. Wright,"""So, you're done with us now. If I don't get back quickly, Diana'll start scratching the curtains."" "
Ushiromiya Lion,"""...We weren't together long, but thank you for your help."" "
Willard H. Wright,"""So long. Be happy...for the sake of the hundreds of thousands of other 'you's."" "
,"When he left the chapel, a beautiful after-rain sky stretched out above him. "
,"That sky, which was a mix of rain clouds, gaps of sunlight, and the tint of twilight, had a beauty to it that couldn't be described in words. "
,"Will slowly descended the stone stairs, stepping through puddles. Then, he waved without looking back...and left the chapel behind. "
,His form and footprints gradually faded away...until there was no trace left. 
{f:5:Bernkastel},"""Okay, time for me to disappear too. ...Goodbye, Lion."" "
Ushiromiya Lion,"""I have you to thank as well. ...I believe I said some fairly inconsiderate things to you. You have my apologies. ...You taught me something very important."" "
{f:5:Bernkastel},"""............"" "
Ushiromiya Lion,"""...What is it?"" "
{f:5:Bernkastel},"""No, it's nothing. ...It's been a century since anyone's thanked me, so I wasn't sure how to respond."" "
,"{f:5:Bernkastel} shrugged, then floated up into the air. "
,"Then, she looked up at the beautiful seven colors of light shining in through the stained glass... and spoke as though someone was looking down on her from there. "
{f:5:Bernkastel},"""Auaurora. Was that enough of an answer check for you? If you still don't get it, why not gather the other observer witches and have a tea party or something? Then you can listen to their theories."" "
{f:5:Bernkastel},"""I'm mean, so I won't go any further than this. There are no witches who don't think. After all, witches who don't think either die or turn to seaweed."" "
{f:5:Bernkastel},"""...Yes, now you can look back and have a drink, ...while seeing how much of your theory was right. I'm tired of playing the part of the bad guy...and of being a miko. You're done with me now. ...Bye, Lion. And bye to you too, observer witches."" "
,{f:5:Bernkastel} burst and disappeared. A single golden flower petal glittered. 
,...Lion picked it up. It was the only trace of a miracle that remained in this chapel... 
,"At that time, cheery voices could suddenly be heard. "
,"It was the relatives. They came out of the waiting room, one by one. "
Ushiromiya Natsuhi,"""So this is where you were, Lion. I was looking for you."" "
Ushiromiya Lion,"""Mom. My apologies. I was just thinking about something."" "
Ushiromiya Hideyoshi,"""Looks like the rain's finally stopped! Finally some good weather!"" "
Ushiromiya Krauss,"""Everyone, let us return to the mansion. I have been told that {f:5:Beatrice}'s funeral is over."" "
Ushiromiya Lion,"""Dad, where's the Head?"" "
Ushiromiya Rudolf,"""He'll be here in a sec. Today was pretty crazy. And playing along with Dad's little funeral show was a real pain."" "
Ushiromiya Kyrie,"""You shouldn't say that. It was a very important ceremony."" "
Ushiromiya Rosa,"""That's right. I think it was very important for Father."" "
Ushiromiya Eva,"""I'm starving. Gohda-san, think you could cook something up for us?"" "
Gohda Toshiro,"""Yes ma'am! I'll prepare some tea at once."" "
Ushiromiya Kinzo,"""...Where is Lion...?! Lend me a hand."" "
Ushiromiya Lion,"""Our Family Head...! There you are."" "
,"As Kinzo came out after the others, Lion ran up to him. "
Ushiromiya Kinzo,"""...You did very well today. ...{f:5:Beatrice}'s funeral is now complete."" "
Ushiromiya Lion,"""Yes. ...And I'm sure that {f:5:Beatrice}'s soul was saved."" "
Ushiromiya Kinzo,"""...... ...How could you know that?"" "
Ushiromiya Lion,"""I was with {f:5:Beatrice} until a second ago. ...And I saw her leave on her journey with no regrets. That's how I know."" "
Ushiromiya Kinzo,"""............"" "
Ushiromiya Lion,"""...I guarantee it."" "
Ushiromiya Kinzo,"""I see. ......If you say it, then it must be so."" "
,"The relatives left the chapel one by one. Lion left too, giving Kinzo a shoulder to lean on. "
,"A beam of sunlight peeked through the clouds, ...looking like a staircase leading up to heaven. "
