Speaker,Steam (ST)
Ushiromiya Natsuhi,"""On the off-chance that the magic-resisting toxin does reach Father, ...will the magic dissolve in an instant?"" "
{f:5:Beatrice},"""Indeed. In the blink of an eye. ...I can vanish whenever I please, but if someone already dead such as Kinzo loses his form, he'll be instantly tossed away like dust by the winds of the sun. You must take care."" "
Ushiromiya Natsuhi,"""Yes. I understand."" "
{f:5:Beatrice},"""......You may have talent as a witch. The magic-resisting toxin has been building up in your system over the years, and yet you are still able to understand magic. ...If you and I had met during your youth, you might have become a powerful witch by now."" "
Ushiromiya Natsuhi,"""I am the wife of Ushiromiya Krauss, the Family Head. I would become even a witch or a demon to protect his honor. ...I am deeply grateful for the power of your magic. I wouldn't have been able to protect the honor of the Ushiromiya family without you."" "
{f:5:Beatrice},"""Let's discuss that at another time. I'd like to enjoy it with just the two of us women drinking tea."" "
Ushiromiya Natsuhi,"""A friend of mine who went to Sri Lanka sent me some black tea with a wonderful rose fragrance."" "
{f:5:Beatrice},"""Hoh, you mean Dimbula. That isn't bad. Then you should also have some patis on the side. ...You must serve me some as a reward if I manage to trick everyone for this entire family conference. It's a promise."" "
Ushiromiya Natsuhi,"""Understood. I promise. Then, I'll see you later."" "
{f:5:Beatrice},"""Yes, later."" "
,"The witch made her body crumble into the rustling winds, became gold flower petals, and scattered into thin air. "
,"Natsuhi watched her go, then turned on her heels and headed for the mansion. "
,And then there were none left in the rose garden... 
{f:5:Lambdadelta},"""Oookay then. It's <break time>. Got any complaints so far?"" "
{f:5:Bernkastel},"""......None at all. If you have to pee, why not just go and do it...?"" "
{f:5:Lambdadelta},"""What a rude thing to say. {p:1:Kinzo is already dead}, right? But he's walking around and talking, isn't he? Doesn't that mean this is magic?!"" "
{f:5:Lambdadelta},"""Of course, I doubt this move would work on you after all this time, Bern. ...But what about you, Battler? Isn't this weird? Don't you have to accept the existence of the magic that revived Kinzo? Hahhihhyahhahaaaah!"" "
Ushiromiya Battler,"""...If you're trying to imitate Beato, it's pissing me off, so stop it right now."" "
{f:5:Lambdadelta},"""*giggle*! Figured it out?! Then come on, how are you gonna answer, Battler? Kinzo was just out for a stroll. "
{f:5:Lambdadelta},"Why not act like you always do and start holding your head, crying ""THIS MAKES NO SENSE!!""...? C'mon, use that old ""IT'S ALL USELESS"" catch phrase, and then gimme one of your classic nonsensical counterarguments."" "
{f:5:Lambdadelta},"""There's no way a human who's supposed to be dead could be walking around, right? Is this all because of some unknown virus called the Rokkenjima Syndrome that causes mass delusions? Or do the scales of a mysterious form of butterfly that only lives on Rokkenjima happen to be hallucinogenic?! Or is it all because a mysterious secret organization called the Mountain Dogs made an as-of-yet undiscovered drug called Purupuru Pikopuyo which causes mass delusions?!! "
{f:5:Lambdadelta},"Let me hear tons of this wonderful crap, kyaaahahahaahahahahahahahahahahahahahaha!!"" "
Ushiromiya Battler,"""......Just shut up. This isn't even a problem."" "
,{p:1:Grandfather is dead at this point in time}. There's no way he exists. 
Ushiromiya Battler,"""The only reason he's able to act like he's alive like this... is because of Aunt Natsuhi's lie, her attempt to make it through the family conference while hiding Grandfather's death."" "
{f:5:Lambdadelta},"""Oh? It's Natsuhi's lie?! You can revive the dead by lying? Wouldn't that make it Natsuhi's magic?"" "
Ushiromiya Battler,"""This world is like a Braun tube before you've looked in it. ...It's the world of the cat box before you open it. "
Ushiromiya Battler,"As long as Aunt Natsuhi says she took a walk with Grandfather, and as long as no one can confirm that it's a lie, it's possible to display ""Aunt Natsuhi taking a walk in the rose garden with Grandfather"" as Natsuhi's reality. That means it's possible for Grandfather to appear."" "
,"*clap*, *clap*, *clap*... "
,That extremely unflattering applause was coming from {f:5:Bernkastel}. 
{f:5:Bernkastel},"""...Bravo. .........You're much calmer without Beato around."" "
Ushiromiya Battler,"""Quiet. You shut up too."" "
{f:5:Lambdadelta},"""Wait a second, Battler. According to your theory, sure, it might really be possible for Kinzo to appear if Natsuhi's the only person there. If Natsuhi claims to have observed Kinzo in a world with no one except Natsuhi in it, then no one can deny it, right?"" "
{f:5:Lambdadelta},"""But Kanon was in the same place, and he was also looking at Kinzo, right? How would you explain that?"" "
Ushiromiya Battler,"""...That's no problem at all. Kanon-kun is a servant who works for the Ushiromiya family. ...Aunt Natsuhi probably ordered him to keep to her story, so that she could hide Grandfather's death. ...Because of that, Kanon can see Grandfather even though he shouldn't exist, just like Aunt Natsuhi can."" "
{f:5:Bernkastel},""".........Too bad, Lambda. Battler isn't gonna fall for that kind of child's play anymore."" "
{f:5:Lambdadelta},"""Seems so. ...Well, this is nothing more than an opening, before the game's really started. Like an aperitif before a meal."" "
{f:5:Bernkastel},"""......An appetizer at a bar. Green tea at a sushi restaurant."" "
Ushiromiya Battler,"""Shut up. So, we aren't gonna get anywhere unless I say it again in blue text, huh?"" "
{f:5:Lambdadelta},"""Looks like it. Would you mind?"" "
Ushiromiya Battler,"""......... ...... {p:2:The reason Grandfather is strolling around like nothing happened even though he's already dead... is that people who want to make it seem as though he's alive created an illusion of him. People who think the same way can share in that illusion. Then, they'll talk as though Grandfather actually exists and was with them until a second ago. That's why he's strolling around like it's perfectly natural.}"" "
Ushiromiya Battler,""" ""{p:2:Because of this, the illusion of Grandfather is unable to appear in front of people who aren't in on this with Aunt Natsuhi.} {p:2:That's why they made up the story of him shutting himself away in his study and refusing to come out.}"" "
,"In the games before now, Grandfather has always locked himself up in his study. "
,We never met him directly. 
,"However, some people said things that made us think he was locked up in his study in a bad mood, such as claiming to have met him only a short while ago. We blindly accepted their statements and believed that Grandfather was in the study. "
,{a:c: {i:That's why it was possible for an illusion of Grandfather to exist in the study}.} 
,"That's right, in the games before now, the only people who met Grandfather were Uncle Krauss, Aunt Natsuhi, and the servants. "
,"{p:2:Because they all stuck to the same story, an illusion of Grandfather was able to exist on this island, making it seem like he was alive}. "
Ushiromiya Battler,"""...You even showed us a scene at the beginning of this game, where Aunt Natsuhi convinced Doctor Nanjo and the rest to cover up Grandfather's death. ...I'm not gonna fall for a cheap trick like that after all this time."" "
{f:5:Lambdadelta},"""......Well, not bad. But I was hoping for the unknown drug Purupuru Pikopuyo."" "
{f:5:Bernkastel},"""There's no way he'd say something so ridiculous, right...? After all, supposing that such a thing exists would be just as bad as surrendering to the fantasy genre. ...Whether it's a virus or a drug or an illness, anything that hasn't been discovered yet is in violation of Knox's 4th commandment."" "
Ushiromiya Battler,"""...What do you mean, 4th commandment?"" "
{f:5:Bernkastel},"""Knox's 4th. It is forbidden for unknown drugs or difficult to understand scientific devices to be used. ......The rule states that such things can't be used during a murder."" "
Ushiromiya Battler,"""What the hell... Unknown drug X and unknown scientific device X should be the best kinds of weapons to use when fighting against a witch..."" "
{f:5:Bernkastel},"""......That's what I'm talking about. All of those violate the rules of a proper mystery. Supposing an unknown virus, an unknown drug, ...an unknown sickness, or an unknown XXX was used puts it totally in the fantasy genre. My condolences. If that was your theory, then it's ""game over"" for you. *giggle*giggle*."" "
Ushiromiya Battler,"""......H-Hey... What are you talking about...?"" "
{f:5:Bernkastel},"""You think you've been fighting in direct opposition to Beato. But that's not actually true. You haven't been in direct opposition. You've been fighting along with her from a slightly different angle."" "
{f:5:Bernkastel},"""All this playing detective you've done hasn't been fantasy vs mystery. It's only been fantasy vs anti-fantasy."" "
Ushiromiya Battler,"""...I don't have a clue what you're talking about. ...But there's one thing I do get. ......It sounds like you're saying there's something wrong with my fighting style."" "
{f:5:Bernkastel},"""......We're fighting to kill the fantasy known as the Illusion of the Witch. That means interpreting this tale as a {i:proper mystery}. In other words, from the very start, we have to ignore any and all elements that violate the taboos of the mystery genre."" "
Ushiromiya Battler,"""I-Ignore, you say......?"" "
{f:5:Bernkastel},"""For example, several closed room murders have occurred in the games before now, right?"" "
Ushiromiya Battler,"""...Y-Yeah."" "
{f:5:Bernkastel},"At every single crime scene, you enthusiastically check with Beato to make sure there are no hidden doors, right? "
{f:5:Bernkastel},"Then that leads to a flashy bunch of red truths weaving together all over the place, almost as though that itself is the battle. "
{f:5:Bernkastel},I call that a waste of time. 
{f:5:Bernkastel},"After all, it's clearly specified in Knox's 3rd. {n}""It is forbidden for hidden passages to exist."" {n}In the mystery genre, hidden passages {i:mustn't exist}. "
{f:5:Bernkastel},"So, if you wanna interpret everything as a proper mystery, entering this whole debate over whether there are hidden doors or not means you've lost from the beginning, see...? "
{f:5:Bernkastel},"After all, {i:there aren't any}. {n}As soon as you suspect that they might exist, it's already ""game over"" for you. "
{f:5:Bernkastel},"In other words, you assume you can't start theory-building, just because no one's yet proven that hidden doors don't exist at the crime scene. That's why I call you naive and a failure at the mystery genre. You've already lost once you start thinking that. "
{f:5:Bernkastel},"You thought you were waging a fight to interpret everything like a mystery novel, right...? "
{f:5:Bernkastel},"Then you've got to follow the conventions of the mystery genre. ...*giggle*giggle*giggle*giggle*, hihihihihihihihihihihihyahhahhahahahahahahahahahahahahahaha...!! "
{f:5:Bernkastel},"""*cough* ......Well, that's it in a nutshell. Hidden doors must not exist at any of the crime scenes. That means any time spent asking whether they exist or not is wasted."" "
Ushiromiya Battler,"""...I think I know what you're talking about. I've heard about it somewhere. Is this like the ten basic rules for mystery novels or something?"" "
{f:5:Lambdadelta},"""Yeah, that's right. They're the ten wedges for drilling witches brandished by Knox, the peerless archbishop of witch hunting. Those are the true weapons with which to fight and defeat the fantasy known as the Illusion of the Witch head on. "
{f:5:Lambdadelta},"...It's just like you, Bern, to bring in such a troublesome weapon. That's the fantasy genre's archenemy."" "
Ushiromiya Battler,"""............ So, you'll deny the existence of hidden doors right from the start, without even investigating the crime scene... That sounds more like fantasy to me..."" "
{f:5:Bernkastel},"""Lambda, who's in charge of the witch's side, is fantasy. I'm the one who's fighting her, mystery. What are you? You're just barely anti-fantasy, doing nothing but dodging over and over and denying fantasy. You're opposed to absolutely everything, but you can't make any counter-proposals. You're like a politician from some country. *giggle*giggle*."" "
Ushiromiya Battler,"""Shut up. I didn't come here to speak gibberish with you two. Continue the story right now...!!"" "
{f:5:Lambdadelta},"""...Be quiet. That sleeping princess behind you looks like she's in pain, doesn't she?"" "
,"When he turned around, he saw Beato's living corpse resting in a chair... "
,"However, sweat glistened all over her body, and it felt like she was breathing a little harder than normal. "
,...She looked as though she was suffering from a high fever. 
Ushiromiya Battler,"""Beato, ...what's wrong, ...are you okay...?"" "
{f:5:Lambdadelta},"""What do you mean, is she okay? You sure do say some weird things. ...Aren't you fighting to kill this girl?"" "
Ushiromiya Battler,"""..............."" "
{f:5:Lambdadelta},"""We've rewound this 5th game for your benefit, but right now, Bern has done a good job cornering her opponent and is about to break through the Illusion of the Witch. ...Her existence has been almost completely denied. It's only natural that she's suffering."" "
{f:5:Bernkastel},"""......Just now, even you smashed the Illusion of the Witch by saying there's no way Kinzo exists. ......Here's the proof that your attack reached Beato. This agony of hers."" "
Ushiromiya Battler,"""..............."" "
,...I tried to at least wipe away the sweat on Beato's forehead with a handkerchief. 
,It's true I promised Beato that I'd let her die. But it was supposed to happen...peacefully. I wasn't planning to make her suffer first. 
,...My goal isn't to make the sleeping Beato suffer like this before killing her... 
,"As if they had seen right through to my mixed feelings, the two witches grinned... "
Ushiromiya Rudolf,"""Dad only overheard because you kept yelling about the inheritance, right, Aneki?"" "
Ushiromiya Eva,"""It isn't my fault, it was just an unlucky coincidence, okay?! He just happened to be in the corridor and heard... It was an accident, I tell you, an accident...!"" "
Ushiromiya Hideyoshi,"""Could you two give it a rest...? Just call it our bad luck this time and give it up. If you leave a man alone, his mood'll pop right back to normal."" "
Ushiromiya Kyrie,"""Hopefully Father's feelings weren't hurt so much that he writes up some strange will."" "
,The relatives took a deep breath and fell silent... 
Ushiromiya Rosa,"""Hey! You can't jump around either, Maria! What'll you do if Ange-chan falls?!"" "
Ronoue Genji,"""......Sorry to keep you waiting. The boat is ready."" "
Ushiromiya Hideyoshi,"""Okay, let's go. Won't get anywhere by complainin' now."" "
Gohda Toshiro,"""We eagerly await your return to this island."" "
,"Natsuhi was sitting on a bench in the rose garden, looking completely worn out. "
,"However, when she noticed that Kanon and Kumasawa were coming back, she immediately sat up straight, regaining the dignity of the Head's wife. "
Ushiromiya Natsuhi,"""...Did the boat leave?"" "
Kanon,"""Yes. It departed just a minute ago."" "
Ushiromiya Natsuhi,"""I see. Good job seeing them off. ...What is my husband doing?"" "
Kanon,"""He returned to his room a short while ago. He is resting."" "
,"Since the previous day, Krauss had been almost overwhelmed by anxiety over the thought that Kinzo's death might be discovered. "
,"When the family conference ended, his weariness must have suddenly gotten ahold of him. "
,"...However, the way he had refused to let even a sliver of his true intentions slip out... and the manner in which he had managed to act as though everything was normal...showed that Krauss's nerve was nothing to sneeze at. "
Ushiromiya Natsuhi,"""......How was it? Did they seem to notice anything suspicious about Father...?"" "
Kumasawa Chiyo,"""Not at all. Eva-sama and the rest were having a big ruckus over how the Master overheard them talking about the inheritance. Right? Wasn't their panicking just priceless?"" "
Kanon,"""Yes. They were quite shaken up."" "
Ushiromiya Natsuhi,"""But Kumasawa, you really are quite an actress. The way you acted all panicked in the corridor made it seem like Father really was there."" "
Kanon,"""......Kumasawa-san is quite talented at that sort of thing."" "
Kumasawa Chiyo,"""Oooh, come now, I don't deserve such praise. Hohohohoh."" "
Ushiromiya Natsuhi,"""*giggle* I always have to give Genji strict orders not to easily swallow your stories when you call in sick."" "
Kumasawa Chiyo,"""Now that's just too harsh, Madam. Ohohohohoh..."" "
Ushiromiya Natsuhi,"""You really did a good job. Both of you, as well as Genji and Shannon, will get your pay for a month's worth of past vacation time, as well as five extra days, just as promised. Consider this is a confidential benefit. Talk with Genji when you collect your pay so that the other servants don't find out."" "
Kumasawa Chiyo,"""Sure, we understand. Right?"" "
Kanon,"""......Kumasawa-san, your voice is too loud."" "
Kumasawa Chiyo,"""Ooh, not good, not good, ...hohohoh."" "
Ushiromiya Natsuhi,"""Good point. Let's leave it at that for the time being. We should all return to our regular duties. That's right, I've had Gohda prepare some special tea. Tell him to serve it."" "
,"Natsuhi let them know she wanted to be left alone for a while, so she could drink some black tea in the rose garden. "
,"The black tea that had been carried all the way to the bench... was the Sri Lankan tea ""Dimbula"" that she had promised Beato, along with some patis... "
,"Sitting on either side of this snack, staring at it curiously, the wife of the Head and her witch could be seen. "
Ushiromiya Natsuhi,"""...So this is patis... I just assumed it would be some kind of baked sweet..."" "
,"Apparently Natsuhi, not realizing that it had a curry-like spicy flavor, had started choking after putting it in her mouth. "
,"To describe it in Japanese terms, it was like fried dumplings stuffed with mashed, curry-flavored potatoes. "
,"As a household dish, it would probably be pretty popular with the kids. "
,"However, it was something of a shock to Natsuhi, who expected that a treat to go with tea would be sweet. "
{f:5:Beatrice},"""Didn't you know? Dimbula always goes with this. Black tea always goes with cookies. Oh, but chocolate is good too. You must have sweet bean jelly with Japanese tea, although salted konbu also works. Chinese tea goes with Chinese dumplings. Though I like moon cakes too."" "
Ushiromiya Natsuhi,"""...I'm surprised. You know a lot about various cultures, don't you?"" "
{f:5:Beatrice},"""Well, I haven't been living a thousand years for nothing. I've tried refined teas from all over the world. Perhaps you could call it a journey through the world of tea."" "
Ushiromiya Natsuhi,"""That does seem like it would be a wonderful way to travel the world. Before today, I never knew that one could enjoy tea like this. I will treasure this experience."" "
{f:5:Beatrice},"""I cannot leave Rokkenjima. This is the only way I can travel. What about you? I'm sure you've elegantly traveled the world like any wealthy wife might."" "
Ushiromiya Natsuhi,""".........Before Jessica was born, my husband took me to many countries. Before marrying, I never once traveled overseas, so each time was a fresh and new experience."" "
{f:5:Beatrice},"""...Hmph. Sounds like you were also born into a very rigid family."" "
Ushiromiya Natsuhi,"""............ ...It was strict, but they gave me a wonderful upbringing. It would be rude to my father and mother to call that rigid."" "
{f:5:Beatrice},"""That's a pretty eloquent way to call it rigid. *cackle*."" "
,Krauss might have pitied Natsuhi. 
,"Or, he might have wanted to take her away from the rigid Ushiromiya family for a little bit and let her rest. "
,"...Or, he might simply have wanted to take his wife around countries he knew well, to show off everything he knew. "
Ushiromiya Natsuhi,"""Unlike Father, my husband is fond of Asian nations. Hong Kong, Taiwan, Korea, Thailand. I think we also went to Malaysia."" "
{f:5:Beatrice},"""*cackle*cackle* That Krauss... Was he trying to rebel against Kinzo's Western tastes? But Asia is good too. After all, the Japanese are strongly influenced by the West. When they think of foreign countries, only Western ones come to mind. But you mustn't forget the East."" "
Ushiromiya Natsuhi,"""I myself knew a few things about the West, but I knew very little about the East... I seem to recall my husband making fun of me now and then during our travels."" "
,"Beato subtly peered into Natsuhi's heart, as the latter grumbled that the trips had all been very tiring. "
Ushiromiya Krauss,"""Are you listening? This is called an areca nut. It's a popular luxury food item around here."" "
,"It looked like a small, round, gourd-like nut that had been smashed, with cucumber wedged in it. "
,"At a glance, it looked as though it would probably taste like pickles. "
Ushiromiya Natsuhi,"""I-I see. So I just bite it here...?"" "
,"As she tried to bite the one her husband was holding, he suddenly moved it away. "
,"...It felt kind of embarrassing, like she was a fish after some bait. "
Ushiromiya Krauss,"""Whoa, wait up. You have to eat it a certain way. Yes, you are supposed to bite it. Bite it. Chew it. But don't swallow it."" "
Ushiromiya Natsuhi,"""Huh? Even though you bite and chew it, you can't swallow it?"" "
Ushiromiya Krauss,"""Yes. Bite and chew. Don't swallow. And don't drink the juice. It'll make your stomach hurt."" "
Ushiromiya Natsuhi,"""I-I don't understand... Why would you eat something like that??"" "
Ushiromiya Krauss,"""Think of it as something like gum. Chew it and enjoy the flavor. Then take the scraps you've bitten and the juice and spit it out into a paper cup like this."" "
Ushiromiya Natsuhi,"""...D-Dear, the inside of your mouth is bright red...! Wipe it off, wipe it off. ...Eeek!"" "
,"Even her favorite handkerchief, which she had wiped Krauss's mouth with, had bright red marks on it. "
,"Something that's poisonous if eaten or drunk, and it makes the inside of your mouth so bright red, and having to spit something out after you've put it in your mouth, ...how indecent! ...Thinking this, Natsuhi adamantly refused Krauss's invitation. "
Ushiromiya Natsuhi,"""No way, no way, I don't need any, I don't need any...!"" "
Ushiromiya Krauss,"""This is a cross-cultural experience. What's the point of traveling if we don't do things that can only be done here?"" "
,"Krauss kept chewing, ignoring the fact that even his lips were being colored bright red. "
Ushiromiya Krauss,"""Father likes these too. He must have ordered them long ago, because he used to chew away at them on the mansion's terrace. Although it seems he stopped ever since you arrived."" "
Ushiromiya Krauss,"""Look here, Father, the person you respect even more than me, enjoyed these all the time. Look, look, don't be shy, take some."" "
Ushiromiya Natsuhi,"""No, no, stop it, stop it, deeeear!"" "
,"...During travel, Krauss had the innocence of a child. "
,He didn't even conceal his jealousy of the respect Natsuhi normally gave Kinzo. 
,Just being able to see that side of her husband made traveling all the way to another country worthwhile... 
,"Krauss urged her even harder to bite it, but Natsuhi, undaunted, ran from place to place and finally yelled that he was being too pushy. "
,Krauss was miffed the whole bus ride. 
,"What a child, to let a little thing like this get him down, Natsuhi thought exasperatedly. "
,"Then, a native tour guide in the bus took out one of those areca nuts and started explaining about it. "
,"It had apparently been a beloved luxury item in these parts since ancient times, similar to tobacco. "
,"Just like in Natsuhi's case, it was starting to be disliked by young people and was becoming obsolete. "
,"...Furthermore, it was treated as a good luck charm in this area... and was known as a symbol for couples. "
,"She looked at her husband's face. ......He turned away abruptly, but it looked like his cheeks had gotten a little red... "
{f:5:Beatrice},"""So, you then leaned on your husband and held his hand, did you?! What the heck, you and your husband share a pretty pure love, don't you?! Did you get all fired up? You know, like, that night{p:0:♪} Kiiihihihihihihi!!"" "
,"Red-faced and avoiding Beato's eye, Natsuhi tried to hide her embarrassment by swallowing the patis whole, chewing with her cheeks puffed out like a blowfish. "
,"Beato said ""Yep, this is the best snack anyone could have with tea"" and nodded several times, a broad smile on her face... "
Ushiromiya Natsuhi,"""However, that's only how it was when we were newlyweds. Right now, I cannot even leave Rokkenjima. I'm a bird in a cage."" "
{f:5:Beatrice},"""Well, it's the same for me. I can keep dying, but I just can't escape Rokkenjima. I'm also a bird in a cage."" "
Ushiromiya Natsuhi,"""I don't know much about you, and I won't pry. ...However, I do see that you face circumstances not to be taken lightly."" "
{f:5:Beatrice},"""I have no desire to act like the chief prisoner here. Let's be friendly as fellow birds in this cage. I've taken a liking to you."" "
Ushiromiya Natsuhi,"""Really? Thank you."" "
{f:5:Beatrice},"""The instructions and orders you gave the servants for this family conference were superb. You took everything from where Kinzo would be and when, what he did, and what he left behind, and put it all together splendidly without any contradictions. That detailed written plan of yours had the same beauty as a high-level magic circle."" "
,"To make it look like Kinzo actually existed and was living life his own way, she had written his schedule for the day down to the finest detail and made the servants follow it to the letter. "
,"When did he meet whom and where, and what did he leave them? When did he do what and where, and what changed? "
,"As a result, even though the relatives never saw Kinzo even once, they hadn't suspected in the slightest that he hadn't been there. "
,Eva and the rest truly believed that Kinzo had just happened to be walking through the hall when he heard them talking about the inheritance and went into a rage. 
,"Everything had gone just as Natsuhi's plan had predicted, down to the finest detail. And the cooperation by the servants had also worked smoothly, down to the finest detail... "
Ushiromiya Natsuhi,"""We had to stop this secret from getting out no matter the cost. That's why I double-checked the plan thoroughly."" "
{f:5:Beatrice},"""Your willpower and attention to detail summoned success with certainty. ...As a witch, it seems that you're in Lady {f:5:Lambdadelta}'s camp. At your current level, as soon as you become self-aware of that as magic, you will be worthy of calling yourself a witch apprentice."" "
Ushiromiya Natsuhi,"""If you call something like that magic, then that would make Kumasawa the witch of feigned illnesses. It's only on busy days that she calls us to say she's taking the day off because of her bad back. Like every year's family conference, for example."" "
{f:5:Beatrice},"""Oh, no, you've got Kumasawa completely wrong there. She's a witch of a much, much higher level. If you knew what she really was, it'd shock you! *cackle*cackle*!"" "
,Watching these two have their pleasant chat... was another pair with steam rising from their black tea. 
,"However, this second pair was in a world that the first couldn't see, where golden roses bloomed. "
Ushiromiya Battler,"""...Ronove was kind enough to make us some of that Dimbula tea too."" "
{f:5:Beatrice},"""..................Nn..."" "
,"It felt as though Beato muttered something. For the first time, it felt as though something had gotten through to her. "
,"Surely, she had taken an interest in the black tea and felt like drinking it... "
,"Thinking this, Battler took Beato's cup and her hand, making her hold the cup... "
{f:5:Beatrice},"""............Nng, ........."" "
,"Beato's eyes trembled sadly, and her fingers shook. "
,Almost as though she couldn't even move her fingers as she wanted to... ...and was mourning the fact that she could no longer enjoy the tea she had once loved by her own power... That's how she looked... 
,"So Battler put his hand on Beato's, grabbed hold of the tea cup, and lifted it to her lips... "
,"......Then, ...though it was only a single mouthful, ...Beato sipped. "
,The days they'd had been locked in a killing-fest with red swords and blue wedges... already seemed like the distant past. 
,"Now, not only was Beato unable to do that, ...it was even difficult for her to make her body do as she pleased. "
,Even just drinking a mouthful of black tea like this was hard... 
Ushiromiya Battler,"""...How is it? That rose aroma makes for a great black tea. Do you like it...?"" "
{f:5:Beatrice},"""..............."" "
,"Of course, ......Beato didn't respond. "
Ushiromiya Battler,"""...What happened to you...? ...Is this...another strategy? Are you pretending to be in a slump so you can shock me later?"" "
{f:5:Beatrice},""".................."" "
Ushiromiya Battler,"""...If that's what you're after, the same trick won't work again, so give it a rest. ...I can't get fired up with you like this."" "
{f:5:Beatrice},""".................."" "
Ushiromiya Battler,"""Hey. ...Isn't it about time for you to start laughing loudly, saying ""Caught you, dumbass!"" or something? Any kind of joke stops being funny if you drag it out too much. Especially if it's a rehash."" "
{f:5:Beatrice},"""..............."" "
Ushiromiya Battler,"""Laugh. Just like you're cackling over there as you drink with Aunt Natsuhi."" "
{f:5:Beatrice},"""..........................."" "
Ushiromiya Battler,"""..............."" "
{f:5:Beatrice},"""...............................................................................................................................................................{0}..."" "
Ushiromiya Battler,"""............Can't you at least grin...?"" "
,"""Never again. This child will never laugh again."" "
,Those sudden words...were exceedingly cruel. 
Ushiromiya Battler,"""How can you say that for sure?! Don't you try to take Beato's right to laugh away from her."" "
{f:5:Bernkastel},"""...Oh, should I say it in red then...?"" "
,I shook my head furiously. 
,"Then, with an expression that didn't reveal her thoughts in the slightest, {f:5:Bernkastel} spoke while looking at Beato's face. ...And the word she used was completely incomprehensible to me. "
{f:5:Bernkastel},"{a:c: ""Congratulations.""} "
Ushiromiya Battler,"""......For what?"" "
{f:5:Bernkastel},"""Beato is like this as a result of your victory."" "
Ushiromiya Battler,"""......What are you talking about...?"" "
