Speaker,Steam (ST)
Shannon,"""*giggle* ...You did that? It's a bit hard to picture."" "
Ushiromiya George,"""It was miserable... I wish I could forget that time for the rest of my life. In any event, I quickly realized that I could never become truly attractive by imitating them like that."" "
Ushiromiya George,"The reason I had no charm was because of my cowardice. ...Under the pretense of respecting people and acting to fit in with the general atmosphere, ...I was always running away. "
Ushiromiya George,"I resolved myself to overcome that flaw and be reborn. {n}...I finally understood the shell I was in, and I swore to break out of it. "
Ushiromiya George,"Every time my determination began to waver, ...I'd remember that day. ...That day I saw you two forget about me entirely and play around happily. And the fact that those eyes of yours, which I always assumed were attracted to me, never noticed me at all. "
Ushiromiya George,"......I made an oath. This time, I wanted to be the one who caught your attention for real, the one reflected in your eyes. ...That's actually the first thing I felt when I fell in love with you. "
Shannon,"""......Sounds like...it was pretty complicated for you."" "
Ushiromiya George,"""On that day, my desire for revenge against the two of you who had ignored me and played together...no, against you alone... suddenly transformed into true love. "
Ushiromiya George,"...However, I swear this to God. Even though that was the reason I first started to take you seriously, ...there are no lies in the way I feel about you now. "
Ushiromiya George,"...I swear to love you for all my life. I will not lie about that for anyone or anything. And I am prepared to take you as my wife, even if it means having the entire world as my enemy."" "
Shannon,"""...George...san..."" "
Ushiromiya George,"""That's the confession I wanted to make to you beforehand. ...Before now, I've called you my first love, love at first sight. ...That was a lie. ...It was only my selfish, twisted-"" "
Shannon,"""That doesn't matter."" "
,"Shannon smiled, ...but she spoke forcefully enough to cut through George's words. "
Shannon,"""Is there some rule saying that people can't get together just because they weren't each other's first love...? Is it betrayal to forget the first person you fell in love with...? Love...isn't that simple. Well, ...it might be simple. ...After all, love is easy. ...At all times, whatever you feel now... only the honest feelings you feel now can tell you the right answer. So, things of the past or how our relationship started aren't important at all."" "
Ushiromiya George,"""...Then, ...confessing to all that was wrong of me...?"" "
Shannon,"""*giggle* No. ...I'm a bit glad to learn that even George-san, who's always perfect at everything, has a human side to him. ...And I'm kind of glad that I'm the only person you've told this to."" "
Ushiromiya George,"""......Thank you. ...I was only able to become who I am because of you."" "
Shannon,"""Me too. I am as I am because of you, George-san. ...So please, tell me without holding back. ...What kind of husband and wife will we be, ...and what kind of future will we build together?"" "
Ushiromiya George,"""When I have you as my wife, I will become an even more accomplished businessman than my father. ...And after several challenges and adventures, I hope to find the limits of my potential. I want to reach that peak together with you. ...The view from there will be something no one can show you but me."" "
Shannon,"""It sounds fun. ...I'll be with you wherever you go."" "
Ushiromiya George,"""Of course, it won't only be an adventure as a businessman. ...I'd like to create many things that only a couple can make."" "
Shannon,"""*giggle* ...And what could that be?"" "
Ushiromiya George,"""Let's have some kids."" "
Shannon,"""*giggle* ......Yes, my husband."" "
Ushiromiya George,"""I'd like three of them at the least. At least one boy and one girl."" "
Shannon,"""And what if all three are boys...?"" "
Ushiromiya George,"""Then the next one might be a girl. We can have a fourth one. ...It doesn't matter how many. Let's enjoy the adventure of bringing them up together. And when those children eventually leave their nest, they'll make us some grandchildren. Before we know it, we'll reach a boisterous old age surrounded by a whole crowd of kids and grandchildren."" "
Shannon,"""It sounds like fun. I wonder...what kind of a grandpa you'll be."" "
Ushiromiya George,"""And I wonder what kind of a grandma you'll be. However, I will always keep loving you. ...And when we eventually pass away, surrounded by our vast family, our lives will stretch behind us, unmatched by anyone else's."" "
,George didn't just talk about his love of the present. 
,He swore to love her soul until the final moment when the lid of their coffins would be shut. 
,"Then, George took a small box out of his pocket. ...Even without opening it, she knew what was inside. "
,"He took it out with a motion that was even more natural than the one he'd practiced in the airport bathroom, and it was overflowing with masculine charm. "
Ushiromiya George,"""Sayo."" "
Shannon,"""Yes."" "
Ushiromiya George,"""Let's get married."" "
Shannon,"""Yes."" "
Ushiromiya George,"""Please, take this ring and put it on your finger."" "
Shannon,"""......Yes, George-san."" "
,"That ring, which glistened divinely even in the dim light of the arbor, ...passed from George's hand to Shannon's finger. "
,"Of course, Shannon had already decided which finger to put it on. "
Ushiromiya George,"""I swear to resolutely stand against any fate that may attempt to stand in the way of our future."" "
,George proclaimed that he would reveal their engagement to the entire family on the next day. 
Ushiromiya George,"""My parents might criticize this marriage. ...However, I will not let them stop us. I'm going to inform them of our engagement, not ask for their permission. If Mother says that she won't allow our marriage, I plan to have myself disinherited, and we'll leave this family together."" "
Ushiromiya George,"""I have been prepared for that since long ago. ...I swear once again to resolutely stand against all fates that get in the way of our future."" "
,...George had said it aloud. 
,"So, Shannon said the same thing. "
Shannon,"""Me too. ...I swear to stand against all fates that get in the way of our future, George-san."" "
Furudo Erika,"""*giggle*giggle* ...Battler-saaan, when will the crimes start? I've just about had it with this love show."" "
Ushiromiya Battler,"""...... ...Be quiet and watch."" "
Furudo Erika,"""...Sure, fine. I'd hate to yawn and let some spectacular bit of foreshadowing slip by."" "
Ushiromiya Battler,"""......Do you have no love?"" "
Furudo Erika,"""Are there any mystery novels that accept love as proof? No, there aren't."" "
,Erika laughed coldly and stared down at the two on the game board. 
,Battler watched her quietly. 
,"...Erika thought she felt a touch of pity in his gaze, and she averted her eyes uncomfortably. "
Furudo Erika,"""......... ...I do understand, more or less. Love can at least become a motive for murder. ...I can interpret this scene beneath the arbor to represent a possible motive for the crime if their engagement is somehow impeded."" "
Furudo Erika,"""......Then again, no matter how much people talk of love with words that aren't red, it's all just an illusion. *cackle*cackle*cackle*!"" "
Ushiromiya Battler,"""......That's sad. ...So, you could never love a human without proof given to you by a witch."" "
Furudo Erika,"""Please put an end to this frivolous love talk. I'm your enemy, not a friend to whom you can talk about love just for the hell of it."" "
Ushiromiya Battler,"""........."" "
Furudo Erika,"""I can't understand you at all right now. ...What on earth did you figure out? Weren't you and Beato always insulting and trying to kill each other? "
Furudo Erika,"...What kind of truth could you have reached to make you change your emotions regarding her? ...Please don't tell me that feelings of true love have sprouted from your murderous rivalry or anything like that, okay?"" "
Dlanor,"""...Lady {f:5:Erika}, let us have him continue the game's {f:5:progression}. Boring love scenes such as this are best finished {f:5:quickly}."" "
Furudo Erika,"""Ah, you've got a point there. Sorry for butting in. Come on, let's move on."" "
Ushiromiya Battler,"""........."" "
Shannon,"""...It's Shannon. I've come back."" "
Ronoue Genji,"""Indeed. ...The log for today has not yet been filled out."" "
Shannon,"""Yes. I'll do that right away. ...Kanon-kun, thanks for keeping an eye out while I was gone."" "
Kanon,"""...... ...That was a pretty long break."" "
,Kanon had already noticed. ...There was a silvery glint coming from the ring finger on Shannon's left hand. 
Ronoue Genji,"""Then I will retire. ...Please do not hesitate to wake me if anything occurs."" "
,"""""Goodnight, Genji-sama."""" "
,Genji disappeared off to the waiting room. 
,"...After that, only Shannon and Kanon remained. "
Shannon,"""...Thanks for giving me some time. I'll stay here for the rest, so you can go to sleep now."" "
Kanon,"""......... ...So, it's my turn next."" "
Shannon,"""......Yeah. ...Sorry, ...but we aren't going to lose."" "
Kanon,"""And I...won't lose either..."" "
Shannon,"""Even though you've always been a coward and let Milady take the lead until now...?"" "
Kanon,"""......Wasn't it you who taught me, Nee-san?"" "
Shannon,"""What did I teach you...?"" "
Kanon,"""The past is immaterial when it comes to love. The present is all that matters. If that's true, then I think my present is in no way inferior to yours, Nee-san."" "
,Shannon and Kanon glared at each other with serious eyes. That period of tension vanished when Shannon chuckled. 
Shannon,"""...Yeah, that's good. ...You and Milady have to give it your all. ...If you do end up together, ...make sure you build up a relationship wonderful enough that the rest of us can cheer you on with all our hearts."" "
Kanon,"""Well, you do have a huge lead on me."" "
Shannon,"""...There's no helping that. That's what you get for your cowardice before now."" "
Kanon,"""I know. ...That is my...sin."" "
,Shannon and Kanon fished around in their pockets...and drew out two small things that glittered gold. 
,They looked like...the left and right wings of a gold butterfly. 
Shannon,"""We are furniture. ...In order to become Human and receive the miracle that allows us to love, ...we must rely on a miracle of magic once again."" "
Kanon,"""...To think that her brooch would actually prove useful."" "
Shannon,"""It's the only magic within our reach."" "
,"It was the golden butterfly brooch, which {f:5:Beatrice} had once given to Shannon in the hopes of creating love between her and George. "
,"Shannon then gave it to Kanon, but he let his emotions get ahold of him and crushed it into pieces. "
,"So, when the two wings they held were brought together, ...it would regain the form of a beautiful butterfly. "
Kanon,"""...Then I'll be back soon. ...After all, they have asked me to play cards with them."" "
Shannon,"""Yeah. Good luck. ...I'm sure Milady will be happy."" "
Kanon,"""...It's a bit embarrassing."" "
Shannon,"""Enjoy that feeling."" "
,Kanon left the servant room. ...He went to go see Jessica and tell her what he had determined to do. 
,Shannon quietly watched him go. 
,The fragment of the brooch and the engagement ring let off a gold and silver glint... 
{f:5:Beatrice},"""That takes me back. That's something I gave Shannon, if I recall. ...I always wondered if they lost it after Kanon stepped on it, but it seems they still had it the whole time."" "
{f:5:Beatrice},"""...That's the golden butterfly brooch, isn't it? ...I read about the magical brooch that can save a love relationship in {f:5:Featherine}-san's book."" "
,"That had been the first time that {f:5:Beatrice}, witch of the forest, had interacted with a human and given them her power. "
,"Bit by bit, she had transformed from a mere ghost to the ruler of the mansion at night, ...and by making the servants believe in her, she had wiped away the anti-magic power. "
,"And then, ...it eventually became possible for her to appear openly in front of Shannon, whose magic resistance had grown particularly low and who had begun to believe in the existence of {f:5:Beatrice}... "
,"To Beato, who had been unable to interact with anyone for many years, this conversation with Shannon must have been especially fun... "
{f:5:Beatrice},"""That's why I generously gave her the butterfly brooch. ...*cackle*cackle*, I was in quite a good mood. ...It is no common thing for a heartless witch such as myself to be so gracious."" "
{f:5:Beatrice},"""But it's wonderful. You brought a pair of future lovers together."" "
{f:5:Beatrice},"""Of course, I did not do it to pamper them. ...It was in exchange for smashing that hateful spirit mirror that had repressed my magical powers. Thanks to that, I was able to regain much of my power all in one go."" "
Kumasawa Chiyo,"""But then, one night, purple lightning smashed the shrine. Those of the surrounding islands called it an evil omen. Oooh, now that I think of it, that must have been a prelude to {f:5:Beatrice}-sama's resurrection."" "
,Kumasawa had the rest of the night off. 
,"So, she had let Erika talk her into drinking a bit, and was chatting about the legend of Akujikishima and {f:5:Beatrice} in a happy, tipsy mood. "
,"Erika would nod from time to time, but besides this, she listened in complete silence. "
,"She wasn't actually taking notes, but she was gathering information on the whiteboard inside her head. "
,"...Then, she frowned as though noticing something out of place and held up her hand. "
Furudo Erika,"""Wait a second."" "
Kumasawa Chiyo,"""Yes?"" "
Furudo Erika,"""...That shrine was built by a traveling shugenja monk to seal up the evil spirits of Akujikishima. Isn't that right?"" "
Kumasawa Chiyo,"""Yes, that is correct. It was one who possessed a vast supernatural power, and who placed that power within the mirro-"" "
Furudo Erika,"""And placed it within the shrine as a sacred mirror to seal the evil spirits. ...Something feels off about that. ...Why would a shrine to seal the evil spirits of Akujikishima also seal {f:5:Beatrice}?"" "
Kumasawa Chiyo,"""...W-Well... That's, uh, because the sacred mirror's spiritual power..."" "
Furudo Erika,"""...I see. So, it's this really convenient sacred mirror that works on both evil spirits from the East and witches from the West. ...Got it. I'm still not satisfied, but I'll back off there for now. What I don't understand is why {f:5:Beatrice} can't stand spiderwebs."" "
,"According to the legend, the evil spirits of Akujikishima despised spiderwebs, so they were apparently used as wards against evil in the surrounding islands. "
,"In fact, spiders are a useful bug. There's nothing strange about the fact that island farmers had treasured them. "
,"It's very possible that they were then tied to the story of evil spirits and became known as charms against evil, leading to a tradition of people treating this useful bug with care through the generations... "
Furudo Erika,"""But that's just the legend of Akujikishima. The origins for the legend of the witch, {f:5:Beatrice}, came after Ushiromiya Kinzo moved to this island, when rumors sprouted about the mysterious legend of the gold, as well as the witch mistress who gave it to him."" "
Furudo Erika,"""In other words, the evil spirits of Akujikishima and the Golden Witch {f:5:Beatrice} were originally completely different things. And yet, the stories treat them like they're the same."" "
Kumasawa Chiyo,"""...W-Well now..."" "
,The evil spirits of Akujikishima couldn't stand spiderwebs. So neither could {f:5:Beatrice}. That sort of reasoning has been applied all over the place. 
,"...When it was pointed out that this was strange, Kumasawa was lost for an answer... "
Furudo Erika,"""The doorknob to Kinzo-san's study has a scorpion magic circle drawn on it, which represents a charm against evil in western sorcery. That's why the western witch {f:5:Beatrice} can't touch it. ...I can understand that part."" "
Furudo Erika,"""But there's no reason for {f:5:Beatrice} to dislike spiderwebs. I don't remember spiderwebs ever being included among things witches can't stand. On the contrary, wouldn't spiders be the friends and minions of a witch?"" "
Kumasawa Chiyo,"""...W-Well..."" "
Furudo Erika,"""In my opinion, ...those two legends about the evil spirits of Akujikishima and the witch {f:5:Beatrice}... have been mixed together a little. In fact, maybe they've been fully fused together as one."" "
Furudo Erika,"""...The legend of Akujikishima is a fairy tale created by fishermen fearful of reefs in the Rokkenjima area. However, there was no visual image to go along with those evil spirits. Were they people, or monsters, or ghosts without legs? There's no mental picture of them. People are bad at imagining things without visuals. ...That's when the legend of the witch called {f:5:Beatrice} came in."" "
Furudo Erika,"""A witch is a lot easier to picture than evil spirits. And on top of that, Kinzo-san had a portrait of {f:5:Beatrice} drawn and displayed. In other words, the lack of a visual image, which was the one weak point in the legend of Akujikishima, was finally completed. Since then, perhaps the two legends have been mixed together."" "
Kumasawa Chiyo,"""W-Well, I wonder... ...H-Hohoho... It is a bit confusing for an old lady such as myself..."" "
,"Kumasawa laughed to smooth it over, wiping away a cold sweat... "
,"She might have seemed confused, but she actually did understand what Erika was saying. "
,"...In truth, she had been vaguely aware of how the legend of Akujikishima, which had been around before Ushiromiya Kinzo had come to Rokkenjima, and the legend of the Golden Witch, the story of the woman who had given Kinzo a vast quantity of gold, ...had both transformed. "
,"She didn't want to acknowledge it, ...but she knew. "
,"The ""setting"" where {f:5:Beatrice} hated the spirit mirror and spiderwebs... "
,This had been based on the ancient legend of Akujikishima. 
,"The ""evil spirits"" part of that legend had just been replaced by the witch of the portrait... "
Furudo Erika,"""...So, if there really was someone claiming to be the Golden Witch {f:5:Beatrice}, I'd really like to ask her whether she actually does hate spiderwebs or not. ...What happens when she touches them?"" "
Kumasawa Chiyo,"""I-It is said that witches and their minions... ...receive burns when they touch spiderwebs, ...so that is probably what would happen, I suppose..."" "
Furudo Erika,"""Hmph, that's not bad. A splendid witch trial. ...If the spiderweb touches her and she gets burned, then she's an evil spirit, not a witch. ...And if nothing happens, then it proves she's just a Human."" "
Furudo Erika,"""In other words, ......whether she's burned or not, it will prove that the Golden Witch doesn't exist. ...The legend of the witch is nothing more than the legend of Akujikishima re-boiled with a new face on it."" "
Kumasawa Chiyo,"""......W-Well......"" "
Furudo Erika,"""Simply by the existence of the legend itself, this level of reasoning is possible for Furudo Erika. What do you think, everyone...?"" "
,"Though only the two of them were in the lounge, Erika faced in the direction an invisible audience would have been... and shrugged... "
,"And, just as Erika imagined, ...the targets of her comments actually were there, listening in... "
{f:5:Beatrice},"""...Spiderwebs...? They burn if you touch them...?"" "
{f:5:Beatrice},"""........."" "
,"When Beato the elder snapped her fingers, ...a graceful, silver spider slipped down from the ceiling, hanging by a transparent thread. "
,"Afterwards, only a single silver strand remained. "
{f:5:Beatrice},"""......Umm......"" "
,"Timidly, ...Beato stretched her finger out towards the spider's string... "
,"Then, ...she touched it... "
{f:5:Beatrice},"""...... ...I'm fine."" "
{f:5:Beatrice},"""......You are?"" "
{f:5:Beatrice},"""Huh...?"" "
,"Beato the elder lifted up a white, pale finger, and after showing it to her little sister, ...she traced the silver string with it. "
,...There was a stench like a single hair being burnt. 
,"Once again, she held her finger up in front of Beato, who was stunned. "
,"There was a thin burn line, as though someone had traced across it with a razor... "
{f:5:Beatrice},"""What's...going on...?"" "
{f:5:Beatrice},"""That's what I would like to know. Why are you unharmed?"" "
{f:5:Beatrice},"""I-I don't know. ...What I don't understand is why you {i:do} get burned by touching a spiderweb..."" "
{f:5:Beatrice},"""...I do not know. It has always been like that since I first gained consciousness."" "
{f:5:Beatrice},"""Then...are you..."" "
,Beato hesitated. 
,"...However, her question was clear. "
{f:5:Beatrice},"""No. I am not one of the evil spirits of Akujikishima. I am {f:5:Beatrice}, ruler of Rokkenjima's night. ...Even I do not know why I have the same weakness as this island's evil spirits of old..."" "
{f:5:Beatrice},"""Are spiderwebs the only things you can't handle...?"" "
{f:5:Beatrice},"""As this Erika person said, I cannot touch the doorknob to Kinzo's study. That scorpion magic circle burns me. ...For me, trying to open the door to that study is like trying to pick a red-hot horseshoe out of a fire. ......What about you?"" "
{f:5:Beatrice},"""Huh? Scorpion magic circles, you mean...?"" "
,The older sister snapped her fingers again. 
,"When she did, the surrounding scene bent and twisted, and they had suddenly moved to the place in front of Kinzo's study. "
,And there...was the doorknob engraved with the scorpion magic circle. 
{f:5:Beatrice},"""Those who research magic must have a refuge sealed off from both human and spiritual disturbances. ...It's no surprise that Kinzo chose to seal off his study and place a charm such as this here. ...And, unfortunately, that affects me as well."" "
,She gently grasped the doorknob. 
,"As she did, a violent burning sound, unbelievably stronger than the one caused by the spiderweb, rang out. "
{f:5:Beatrice},"""O-Onee-sama, are you okay...?! Your hand...aaaaaaahhh...!!"" "
,"Her hand...had been horribly burnt, and Beato couldn't help but avert her eyes... "
{f:5:Beatrice},"""Fear not. This scratch will heal quickly."" "
,"Apparently, it would heal by itself if left alone. ...The older sister seemed to heal at an inhuman rate. "
{f:5:Beatrice},"""However, ...it seems that you can handle it just fine."" "
{f:5:Beatrice},"""......Ah, ...ah!"" "
,She timidly poked the doorknob. ...Nothing happened. 
,"Slowly, ...she touched it with her entire palm, but she felt nothing but a pleasantly cool sensation. "
{f:5:Beatrice},"""...Strange. ...Though you are my double, you are different from me in several ways."" "
{f:5:Beatrice},"""While I might be able to touch the doorknob, ...if I ever get burnt like you did, I don't think I'd heal that easily..."" "
{f:5:Beatrice},"""......It's as though you're a normal Human."" "
{f:5:Beatrice},"""Y-Yes. ...Even I find it a little hard to believe that I'm a witch... ...I can't use magic like you, and I can't get strange burns or heal from them later... "
{f:5:Beatrice},"......Father believed... that I was a great witch reborn, but... I cannot believe that..."" "
{f:5:Beatrice},"""...Who are you?"" "
{f:5:Beatrice},"""I-I am {f:5:Beatrice}. ...I was born for Father's sake. ...And you, Onee-sama?"" "
{f:5:Beatrice},"""I am also {f:5:Beatrice}. I used magic to give Kinzo gold, and later became a soul and the formless witch that haunts this island."" "
{f:5:Beatrice},"""......Just who on earth... are we...?"" "
{f:5:Beatrice},"""...Unlike me, you seem to be a being in possession of a body."" "
{f:5:Beatrice},"""Huh? Really...?"" "
{f:5:Beatrice},"""Yes. ...I thought of it while listening to that Erika person. ...I am a witch who can use magic but has no body, ...and you are a witch who has a body but can use no magic. ......Eventually, perhaps we will become one, each filling in what the other lacks, to form the true, complete {f:5:Beatrice}."" "
{f:5:Beatrice},"""........."" "
,It seemed to make sense. 
